id_sess;block;trial;dual;lines_first;decision;task;side;coherence;mu;meanTilt;sdTilt;tOn;tOff;rr;acc;tResp;id;seq;signed_mu;signed_coherence;session;id_session;s;sign_s
18cl01;1;35;0;0;1;motion;1;0.7401;NA;NA;NA;339987.7138;339988.0669;1;1;0.3097;18;1;NA;0.7401;1;18_1.0;2.69263567964865;1
18cl01;1;35;0;0;2;orientation;-1;NA;8.5804;-9.6674;15.2684;339988.9176;339989.2198;0;1;0.2445;18;1;-8.5804;NA;1;18_1.0;-1.54159645220555;-1
18cl01;1;36;0;0;1;motion;-1;0.8576;NA;NA;NA;339991.4153;339991.7667;0;1;0.5127;18;1;NA;-0.8576;1;18_1.0;-1.52915979773515;-1
18cl01;1;36;0;0;2;orientation;-1;NA;11.3374;-10.4652;15.7533;339992.8068;339993.109;0;1;0.2109;18;1;-11.3374;NA;1;18_1.0;-1.97692367158152;-1
18cl01;1;37;0;0;1;motion;1;0.1545;NA;NA;NA;339995.5477;339995.8998;1;1;0.4134;18;1;NA;0.1545;1;18_1.0;1.14523414522044;1
18cl01;1;37;0;0;2;orientation;1;NA;1.428;1.2431;15.4402;339996.8556;339997.1578;0;0;0.2266;18;1;1.428;NA;1;18_1.0;0.038718724581686;1
18cl01;1;38;0;0;1;motion;1;0.0793;NA;NA;NA;339999.7815;340000.1329;1;1;0.483;18;1;NA;0.0793;1;18_1.0;0.946524112110805;1
18cl01;1;38;0;0;2;orientation;-1;NA;1.5981;-2.4596;14.7237;340001.1737;340001.4759;0;1;0.1646;18;1;-1.5981;NA;1;18_1.0;-0.439099084106603;-1
18cl01;1;39;0;0;1;motion;-1;0.4807;NA;NA;NA;340003.5661;340003.9179;0;1;0.5857;18;1;NA;-0.4807;1;18_1.0;-0.533231453599233;-1
18cl01;1;39;0;0;2;orientation;1;NA;8.3889;7.7814;15.3039;340005.0478;340005.35;0;0;0.2419;18;1;8.3889;NA;1;18_1.0;1.13783705659263;1
18cl01;1;40;0;0;1;motion;-1;0.4648;NA;NA;NA;340008.1782;340008.5324;1;0;0.7402;18;1;NA;-0.4648;1;18_1.0;-0.49121696521568;-1
18cl01;1;40;0;0;2;orientation;-1;NA;4.0526;-2.7456;16.3054;340009.8145;340010.1166;0;1;0.2108;18;1;-4.0526;NA;1;18_1.0;-0.826661891490828;-1
18cl01;1;41;0;0;1;motion;1;0.6217;NA;NA;NA;340012.6663;340013.0173;1;1;0.3992;18;1;NA;0.6217;1;18_1.0;2.3797730743271;1
18cl01;1;41;0;0;2;orientation;1;NA;4.8914;4.0333;15.3164;340013.9738;340014.276;0;0;0.3237;18;1;4.8914;NA;1;18_1.0;0.585585714638531;1
18cl01;1;42;0;0;1;motion;1;0.1497;NA;NA;NA;340017.0137;340017.3653;1;1;0.4186;18;1;NA;0.1497;1;18_1.0;1.13255052608578;1
18cl01;1;42;0;0;2;orientation;-1;NA;11.6471;-12.1226;13.7977;340018.359;340018.6622;0;1;0.4986;18;1;-11.6471;NA;1;18_1.0;-2.02582495552811;-1
18cl01;1;43;0;0;1;motion;-1;0.031;NA;NA;NA;340021.5954;340022.0042;1;0;0.5004;18;1;NA;-0.031;1;18_1.0;0.655065114078989;1
18cl01;1;43;0;0;2;orientation;-1;NA;6.7344;-6.1317;14.6935;340023.0693;340023.3731;0;1;0.2989;18;1;-6.7344;NA;1;18_1.0;-1.25011511489397;-1
18cl01;1;44;0;0;1;motion;1;0.9243;NA;NA;NA;340026.222;340026.6346;1;1;0.2057;18;1;NA;0.9243;1;18_1.0;3.17936956394113;1
18cl01;1;44;0;0;2;orientation;-1;NA;7.7879;-7.7635;15.334;340027.4302;340027.7324;0;1;0.339;18;1;-7.7879;NA;1;18_1.0;-1.41646158773132;-1
18cl01;1;45;0;0;1;motion;-1;0.0923;NA;NA;NA;340030.239;340030.5925;1;0;0.4721;18;1;NA;-0.0923;1;18_1.0;0.493084728046801;1
18cl01;1;45;0;0;2;orientation;-1;NA;9.8815;-10.4114;14.1063;340031.6707;340031.9728;0;1;0.2266;18;1;-9.8815;NA;1;18_1.0;-1.74703868837896;-1
18cl01;1;46;0;0;1;motion;1;0.7564;NA;NA;NA;340034.4011;340034.7526;1;1;0.6319;18;1;NA;0.7564;1;18_1.0;2.73570713629342;1
18cl01;1;46;0;0;2;orientation;-1;NA;1.1845;-1.6662;15.993;340035.9582;340036.2617;0;1;0.5457;18;1;-1.1845;NA;1;18_1.0;-0.373792106256077;-1
18cl01;1;47;0;0;1;motion;1;0.0044;NA;NA;NA;340039.0587;340039.413;1;1;0.6269;18;1;NA;0.0044;1;18_1.0;0.748606805197088;1
18cl01;1;47;0;0;2;orientation;-1;NA;9.2989;-11.0483;14.7297;340040.5832;340040.8854;0;1;0.482;18;1;-9.2989;NA;1;18_1.0;-1.6550467993661;-1
18cl01;1;48;0;0;1;motion;-1;0.2279;NA;NA;NA;340043.3349;340043.6921;0;1;0.6524;18;1;NA;-0.2279;1;18_1.0;0.134772487492727;1
18cl01;1;48;0;0;2;orientation;-1;NA;10.6381;-9.4778;16.7968;340044.8869;340045.189;0;1;0.3384;18;1;-10.6381;NA;1;18_1.0;-1.86650498296723;-1
18cl01;1;49;0;0;1;motion;1;0.5577;NA;NA;NA;340048.0201;340048.3751;1;1;0.5135;18;1;NA;0.5577;1;18_1.0;2.21065815253167;1
18cl01;1;49;0;0;2;orientation;1;NA;2.4929;0.9669;15.0288;340049.4142;340049.7164;0;0;0.307;18;1;2.4929;NA;1;18_1.0;0.206865244680876;1
18cl01;1;50;0;0;1;motion;1;0.3969;NA;NA;NA;340052.3782;340052.7302;1;1;0.4131;18;1;NA;0.3969;1;18_1.0;1.78575691152064;1
18cl01;1;50;0;0;2;orientation;-1;NA;11.7966;-11.5948;14.9834;340053.6864;340053.9886;0;1;0.2598;18;1;-11.7966;NA;1;18_1.0;-2.0494308384794;-1
18cl01;2;1;0;0;1;motion;-1;0.9349;NA;NA;NA;340072.3122;340072.7327;0;1;0.4906;18;1;NA;-0.9349;1;18_1.0;-1.7334189142162;-1
18cl01;2;1;0;0;2;orientation;1;NA;2.006;2.0574;15.87;340073.7646;340074.0694;0;0;0.5783;18;1;2.006;NA;1;18_1.0;0.1299842787345;1
18cl01;2;2;0;0;1;motion;1;0.5195;NA;NA;NA;340077.2247;340077.6472;1;1;0.3609;18;1;NA;0.5195;1;18_1.0;2.10971768358502;1
18cl01;2;2;0;0;2;orientation;-1;NA;6.2536;-6.7408;13.7027;340078.6077;340078.9132;0;1;0.5994;18;1;-6.2536;NA;1;18_1.0;-1.17419733213156;-1
18cl01;2;3;0;0;1;motion;1;0.6771;NA;NA;NA;340081.6922;340082.1021;1;1;0.4012;18;1;NA;0.6771;1;18_1.0;2.52616317850627;1
18cl01;2;3;0;0;2;orientation;1;NA;6.0057;5.1306;14.2621;340083.073;340083.3795;1;1;0.3398;18;1;6.0057;NA;1;18_1.0;0.761532439539017;1
18cl01;2;4;0;0;1;motion;-1;0.3225;NA;NA;NA;340085.9042;340086.3064;0;1;0.4369;18;1;NA;-0.3225;1;18_1.0;-0.115200506286147;-1
18cl01;2;4;0;0;2;orientation;1;NA;11.4196;11.9952;15.9515;340087.2704;340087.5726;1;1;0.5159;18;1;11.4196;NA;1;18_1.0;1.61638120014096;1
18cl01;2;5;0;0;1;motion;1;0.5062;NA;NA;NA;340090.3454;340090.6968;1;1;0.4945;18;1;NA;0.5062;1;18_1.0;2.0745734888994;1
18cl01;2;5;0;0;2;orientation;1;NA;4.2087;6.4234;14.8051;340091.7507;340092.0529;1;1;0.371;18;1;4.2087;NA;1;18_1.0;0.477788147475683;1
18cl01;2;6;0;0;1;motion;-1;0.1698;NA;NA;NA;340094.707;340095.0615;1;0;0.4978;18;1;NA;-0.1698;1;18_1.0;0.288297127435144;1
18cl01;2;6;0;0;2;orientation;1;NA;5.0746;6.863;15.561;340096.1509;340096.4532;1;1;0.6271;18;1;5.0746;NA;1;18_1.0;0.614512789934025;1
18cl01;2;7;0;0;1;motion;-1;0.2469;NA;NA;NA;340099.5173;340099.8726;0;1;0.4227;18;1;NA;-0.2469;1;18_1.0;0.084566495084708;1
18cl01;2;7;0;0;2;orientation;-1;NA;9.6008;-9.421;14.1865;340100.8386;340101.142;0;1;0.4973;18;1;-9.6008;NA;1;18_1.0;-1.70271647202827;-1
18cl01;2;8;0;0;1;motion;1;0.4311;NA;NA;NA;340104.1834;340104.5391;1;1;0.3493;18;1;NA;0.4311;1;18_1.0;1.87612769785508;1
18cl01;2;8;0;0;2;orientation;-1;NA;5.1887;-6.6925;14.91;340105.4945;340105.7968;0;1;0.4035;18;1;-5.1887;NA;1;18_1.0;-1.00605081203237;-1
18cl01;2;9;0;0;1;motion;1;0.8605;NA;NA;NA;340108.5509;340108.9053;1;1;0.3992;18;1;NA;0.8605;1;18_1.0;3.01078312627631;1
18cl01;2;9;0;0;2;orientation;1;NA;1.5238;0.187;13.3634;340109.8942;340110.1964;0;0;0.4349;18;1;1.5238;NA;1;18_1.0;0.0538454375364258;1
18cl01;2;10;0;0;1;motion;-1;0.2385;NA;NA;NA;340112.7645;340113.1719;1;0;0.5314;18;1;NA;-0.2385;1;18_1.0;0.106762828570359;1
18cl01;2;10;0;0;2;orientation;-1;NA;7.3925;-6.8559;14.2335;340114.2934;340114.5955;0;1;0.3237;18;1;-7.3925;NA;1;18_1.0;-1.35402836954443;-1
18cl01;2;11;0;0;1;motion;1;0.396;NA;NA;NA;340116.8956;340117.245;1;1;0.4102;18;1;NA;0.396;1;18_1.0;1.78337873293289;1
18cl01;2;11;0;0;2;orientation;1;NA;7.8823;6.9486;15.0396;340118.2779;340118.5802;1;1;0.4196;18;1;7.8823;NA;1;18_1.0;1.05784548265869;1
18cl01;2;12;0;0;1;motion;-1;0.4377;NA;NA;NA;340121.5894;340121.9435;0;1;0.9118;18;1;NA;-0.4377;1;18_1.0;-0.419607365517926;-1
18cl01;2;12;0;0;2;orientation;-1;NA;11.7797;-11.4109;15.5501;340123.3825;340123.6847;0;1;0.3551;18;1;-11.7797;NA;1;18_1.0;-2.04676234736316;-1
