id_sess;block;trial;dual;lines_first;decision;task;side;coherence;mu;meanTilt;sdTilt;tOn;tOff;rr;acc;tResp;id;seq;session;signed_mu;signed_coherence;s;sign_s
10lj01;2;46;0;0;2;orientation;-1;NA;9.9699;-10.904;14.5471;1013717.1099;1013717.4133;0;1;0.2269;10;10;1;-9.9699;NA;-2.21712715514195;-1
10lj01;2;47;0;0;1;motion;-1;0.0916;NA;NA;NA;1013719.616;1013719.9656;1;0;0.0747;10;10;1;NA;-0.0916;0.412527080536666;1
10lj01;2;47;0;0;2;orientation;-1;NA;1.5837;-1.0579;14.8737;1013720.5499;1013720.8519;0;1;0.1641;10;10;1;-1.5837;NA;-0.619180943470087;-1
10lj01;2;48;0;0;1;motion;-1;0.6167;NA;NA;NA;1013723.4512;1013723.8576;1;0;0.0067;10;10;1;NA;-0.6167;-0.474714590659518;-1
10lj01;2;48;0;0;2;orientation;-1;NA;8.7807;-8.0103;14.9018;1013724.3836;1013724.6876;0;1;0.2487;10;10;1;-8.7807;NA;-1.99053136265904;-1
10lj01;2;49;0;0;1;motion;1;0.5222;NA;NA;NA;1013726.9012;1013727.322;1;1;0.0239;10;10;1;NA;0.5222;1.44964179731484;1
10lj01;2;49;0;0;2;orientation;-1;NA;11.0063;-11.511;15.6312;1013727.823;1013728.1285;0;1;0.3437;10;10;1;-11.0063;NA;-2.41460771293651;-1
10lj01;2;50;0;0;1;motion;1;0.5114;NA;NA;NA;1013730.9679;1013731.3884;1;1;6e-04;10;10;1;NA;0.5114;1.43139344452695;1
10lj01;2;50;0;0;2;orientation;-1;NA;11.9536;-9.8155;14.2468;1013731.9181;1013732.2225;0;1;0.2495;10;10;1;-11.9536;NA;-2.59511073532052;-1
10lj01;3;1;0;0;1;motion;1;0.8253;NA;NA;NA;1013736.0694;1013736.4758;1;1;0.0446;10;10;1;NA;0.8253;1.96177843898226;1
10lj01;3;1;0;0;2;orientation;1;NA;1.0132;1.5558;16.133;1013737.0301;1013737.3321;0;0;0.1481;10;10;1;1.0132;NA;-0.124355335078841;-1
10lj01;3;2;0;0;1;motion;1;0.6357;NA;NA;NA;1013739.6969;1013740.0478;1;1;0.0402;10;10;1;NA;0.6357;1.64141846781716;1
10lj01;3;2;0;0;2;orientation;-1;NA;2.2852;-2.7801;12.7817;1013740.6139;1013740.916;1;0;0.164;10;10;1;-2.2852;NA;-0.752848071309611;-1
10lj01;3;3;0;0;1;motion;-1;0.4645;NA;NA;NA;1013743.2513;1013743.6001;1;0;0.2642;10;10;1;NA;-0.4645;-0.217547989333944;-1
10lj01;3;3;0;0;2;orientation;1;NA;7.4887;5.3369;16.1097;1013744.3736;1013744.6756;1;1;0.1487;10;10;1;7.4887;NA;1.10951706167788;1
10lj01;3;4;0;0;1;motion;-1;0.4181;NA;NA;NA;1013747.304;1013747.6585;0;1;0.0937;10;10;1;NA;-0.4181;-0.139147658837842;-1
10lj01;3;4;0;0;2;orientation;-1;NA;6.3257;-7.5927;14.6871;1013748.3251;1013748.6284;0;1;0.1318;10;10;1;-6.3257;NA;-1.52274405140312;-1
10lj01;3;5;0;0;1;motion;-1;0.7193;NA;NA;NA;1013750.7122;1013751.0617;1;0;0.2747;10;10;1;NA;-0.7193;-0.648073942144433;-1
10lj01;3;5;0;0;2;orientation;-1;NA;9.0447;-11.2427;14.4256;1013751.8627;1013752.1647;0;1;0.0996;10;10;1;-9.0447;NA;-2.0408351712829;-1
10lj01;3;6;0;0;1;motion;1;0.2416;NA;NA;NA;1013754.208;1013754.5616;1;1;0.1187;10;10;1;NA;0.2416;0.975522557288845;1
10lj01;3;6;0;0;2;orientation;1;NA;9.7714;10.3054;15.5013;1013755.2059;1013755.508;1;1;0.196;10;10;1;9.7714;NA;1.54447351601755;1
10lj01;3;7;0;0;1;motion;-1;0.0566;NA;NA;NA;1013757.7636;1013758.1135;0;1;0.4068;10;10;1;NA;-0.0566;0.471665260867778;1
10lj01;3;7;0;0;2;orientation;1;NA;8.1837;7.0799;14.9971;1013759.0953;1013759.3973;1;1;0.2427;10;10;1;8.1837;NA;1.24194564877477;1
10lj01;3;8;0;0;1;motion;1;0.7652;NA;NA;NA;1013761.5817;1013761.9311;1;1;0.1092;10;10;1;NA;0.7652;1.86022973504227;1
10lj01;3;8;0;0;2;orientation;-1;NA;6.9207;-6.504;14.6377;1013762.5817;1013762.8837;0;1;0.1963;10;10;1;-6.9207;NA;-1.63611816553643;-1
10lj01;3;9;0;0;1;motion;1;0.6757;NA;NA;NA;1013765.4786;1013765.8296;1;1;0.1627;10;10;1;NA;0.6757;1.70900495962414;1
10lj01;3;9;0;0;2;orientation;1;NA;2.661;2.4352;14.5292;1013766.5343;1013766.8363;0;0;0.58;10;10;1;2.661;NA;0.189624270415054;1
10lj01;3;10;0;0;1;motion;-1;0.0679;NA;NA;NA;1013769.599;1013769.9823;1;0;0.1861;10;10;1;NA;-0.0679;0.452572076932305;1
10lj01;3;10;0;0;2;orientation;1;NA;6.2598;8.6412;17.0982;1013770.7274;1013771.0294;1;1;0.2109;10;10;1;6.2598;NA;0.875356643428423;1
10lj01;3;11;0;0;1;motion;-1;0.0113;NA;NA;NA;1013773.6919;1013774.044;0;1;0.2044;10;10;1;NA;-0.0113;0.548206962839187;1
10lj01;3;11;0;0;2;orientation;1;NA;4.0455;3.4217;14.7898;1013774.8057;1013775.1081;1;1;0.3079;10;10;1;4.0455;NA;0.453433448595839;1
10lj01;3;12;0;0;1;motion;-1;0.7075;NA;NA;NA;1013777.9737;1013778.3268;0;1;0.1935;10;10;1;NA;-0.7075;-0.628135927061372;-1
10lj01;3;12;0;0;2;orientation;1;NA;2.2675;4.1503;15.6277;1013779.0946;1013779.3966;1;1;0.1474;10;10;1;2.2675;NA;0.114644919303361;1
10lj01;3;13;0;0;1;motion;1;0.7199;NA;NA;NA;1013781.9277;1013782.2788;1;1;0.1612;10;10;1;NA;0.7199;1.78368803307086;1
10lj01;3;13;0;0;2;orientation;1;NA;8.9176;7.7058;14.6214;1013783.0298;1013783.3318;1;1;0.0846;10;10;1;8.9176;NA;1.38178642585449;1
10lj01;3;14;0;0;1;motion;-1;0.4654;NA;NA;NA;1013786.0646;1013786.4127;0;1;0.1077;10;10;1;NA;-0.4654;-0.219068685399601;-1
10lj01;3;14;0;0;2;orientation;-1;NA;2.0151;-2.2859;13.9131;1013787.0942;1013787.3962;1;0;0.1161;10;10;1;-2.0151;NA;-0.701381939834977;-1
10lj01;3;15;0;0;1;motion;1;0.7554;NA;NA;NA;1013789.7479;1013790.0953;1;1;0.0569;10;10;1;NA;0.7554;1.84367104454956;1
10lj01;3;15;0;0;2;orientation;1;NA;2.2425;1.8948;14.3175;1013790.7272;1013791.0293;1;1;0.195;10;10;1;2.2425;NA;0.109881301062466;1
10lj01;3;16;0;0;1;motion;1;0.3757;NA;NA;NA;1013793.5565;1013793.9062;1;1;0.0378;10;10;1;NA;0.3757;1.20210627107176;1
10lj01;3;16;0;0;2;orientation;1;NA;4.4092;4.4447;14.8197;1013794.5016;1013794.8036;1;1;0.0848;10;10;1;4.4092;NA;0.522734566764385;1
10lj01;3;17;0;0;1;motion;-1;0.5686;NA;NA;NA;1013797.1868;1013797.5394;1;0;0.2126;10;10;1;NA;-0.5686;-0.39344183426162;-1
10lj01;3;17;0;0;2;orientation;1;NA;5.6511;3.5845;14.3615;1013798.3268;1013798.6289;1;1;0.0674;10;10;1;5.6511;NA;0.759372066499103;1
10lj01;3;18;0;0;1;motion;1;0.1879;NA;NA;NA;1013800.7877;1013801.1427;1;1;0.1457;10;10;1;NA;0.1879;0.884787692037968;1
10lj01;3;18;0;0;2;orientation;1;NA;0.3665;0.8417;14.8815;1013801.8776;1013802.1796;1;1;0.1804;10;10;1;0.3665;NA;-0.247580611734322;-1
10lj01;3;19;0;0;1;motion;-1;0.4017;NA;NA;NA;1013804.5018;1013804.8557;1;0;0.1603;10;10;1;NA;-0.4017;-0.111437197196978;-1
10lj01;3;19;0;0;2;orientation;1;NA;6.5745;6.0525;15.9051;1013805.5738;1013805.8757;1;1;0.1165;10;10;1;6.5745;NA;0.935321069844814;1
10lj01;3;20;0;0;1;motion;-1;0.4474;NA;NA;NA;1013808.5424;1013808.8921;1;0;0.0602;10;10;1;NA;-0.4474;-0.188654764086458;-1
10lj01;3;20;0;0;2;orientation;1;NA;2.7659;3.8153;14.8359;1013809.5098;1013809.8118;1;1;0.0845;10;10;1;2.7659;NA;0.209612412553851;1
10lj01;3;21;0;0;1;motion;-1;0.9118;NA;NA;NA;1013811.8809;1013812.23;0;1;0.2263;10;10;1;NA;-0.9118;-0.973333933965544;-1
10lj01;3;21;0;0;2;orientation;-1;NA;4.0846;-4.4451;13.8125;1013813.0457;1013813.3477;0;1;0.2443;10;10;1;-4.0846;NA;-1.0957142578163;-1
10lj01;3;22;0;0;1;motion;-1;0.1814;NA;NA;NA;1013815.9068;1013816.3051;1;0;0.2152;10;10;1;NA;-0.1814;0.260795406429987;1
10lj01;3;22;0;0;2;orientation;1;NA;5.139;4.9802;14.1154;1013817.0941;1013817.3961;1;1;0.1162;10;10;1;5.139;NA;0.661794110452602;1
10lj01;3;23;0;0;1;motion;-1;0.3538;NA;NA;NA;1013819.6564;1013820.0085;0;1;0.1278;10;10;1;NA;-0.3538;-0.0305023732581148;-1
10lj01;3;23;0;0;2;orientation;-1;NA;2.3774;-5.9194;13.6805;1013820.7425;1013821.0445;0;1;0.0998;10;10;1;-2.3774;NA;-0.770416295382033;-1
10lj01;3;24;0;0;1;motion;-1;0.5195;NA;NA;NA;1013823.3176;1013823.6714;0;1;0.097;10;10;1;NA;-0.5195;-0.310479415568547;-1
10lj01;3;24;0;0;2;orientation;1;NA;11.4901;11.975;15.559;1013824.3583;1013824.6603;1;1;0.1157;10;10;1;11.4901;NA;1.87196274284262;1
10lj01;3;25;0;0;1;motion;-1;0.4205;NA;NA;NA;1013826.8755;1013827.2246;0;1;0.2875;10;10;1;NA;-0.4205;-0.143202848346261;-1
10lj01;3;25;0;0;2;orientation;-1;NA;1.2798;-1.5038;14.9559;1013828.1017;1013828.4037;0;1;0.4045;10;10;1;-1.2798;NA;-0.561274400133763;-1
10lj01;3;26;0;0;1;motion;-1;0.2163;NA;NA;NA;1013830.7644;1013831.1124;0;1;0.768;10;10;1;NA;-0.2163;0.201826192328393;1
10lj01;3;26;0;0;2;orientation;-1;NA;5.2284;-4.539;13.4682;1013832.4698;1013832.7724;0;1;0.2758;10;10;1;-5.2284;NA;-1.31365931957374;-1
10lj01;3;27;0;0;1;motion;1;0.4611;NA;NA;NA;1013835.5628;1013835.9102;1;1;0.0498;10;10;1;NA;0.4611;1.34640343107967;1
10lj01;3;27;0;0;2;orientation;-1;NA;9.6034;-10.0234;13.6284;1013836.5338;1013836.8358;0;1;0.1645;10;10;1;-9.6034;NA;-2.14729251173043;-1
10lj01;3;28;0;0;1;motion;-1;0.0654;NA;NA;NA;1013838.9395;1013839.2873;1;0;0.2407;10;10;1;NA;-0.0654;0.456796232670241;1
10lj01;3;28;0;0;2;orientation;-1;NA;3.8352;-4.0445;13.4926;1013840.1016;1013840.4037;0;1;0.3087;10;10;1;-3.8352;NA;-1.04819240224512;-1
10lj01;3;29;0;0;1;motion;1;0.6632;NA;NA;NA;1013842.8699;1013843.2239;1;1;0.0965;10;10;1;NA;0.6632;1.68788418093446;1
10lj01;3;29;0;0;2;orientation;-1;NA;7.9983;-6.9251;14.8818;1013843.9091;1013844.2112;0;1;0.2932;10;10;1;-7.9983;NA;-1.84144916619198;-1
10lj01;3;30;0;0;1;motion;1;0.05;NA;NA;NA;1013846.4936;1013846.8429;0;0;0.221;10;10;1;NA;0.05;0.651783261533391;1
10lj01;3;30;0;0;2;orientation;1;NA;8.8543;9.9836;14.2576;1013847.6698;1013847.9731;1;1;0.0832;10;10;1;8.8543;NA;1.36972494446854;1
10lj01;3;31;0;0;1;motion;1;0.0574;NA;NA;NA;1013850.3641;1013850.7201;1;1;0.1841;10;10;1;NA;0.0574;0.664286762517683;1
10lj01;3;31;0;0;2;orientation;1;NA;4.7911;3.0826;15.0292;1013851.4628;1013851.7648;0;0;0.1795;10;10;1;4.7911;NA;0.595503599012302;1
10lj01;3;32;0;0;1;motion;1;0.6649;NA;NA;NA;1013854.1337;1013854.4866;1;1;0.2254;10;10;1;NA;0.6649;1.69075660683625;1
10lj01;3;32;0;0;2;orientation;-1;NA;7.6624;-11.0073;14.8502;1013855.2858;1013855.5888;0;1;0.2595;10;10;1;-7.6624;NA;-1.77744519150731;-1
10lj01;3;33;0;0;1;motion;-1;0.1383;NA;NA;NA;1013857.8197;1013858.173;1;0;0.1392;10;10;1;NA;-0.1383;0.333619851352012;1
10lj01;3;33;0;0;2;orientation;1;NA;1.6328;1.3059;14.6298;1013858.8857;1013859.1889;1;1;0.2591;10;10;1;1.6328;NA;-0.00629382059649002;-1
10lj01;3;34;0;0;1;motion;-1;0.8127;NA;NA;NA;1013861.728;1013862.153;0;1;0.2074;10;10;1;NA;-0.8127;-0.805888400513741;-1
10lj01;3;34;0;0;2;orientation;1;NA;7.7372;8.8198;15.6171;1013862.9593;1013863.2633;1;1;0.169;10;10;1;7.7372;NA;1.15686742699237;1
10lj01;3;35;0;0;1;motion;-1;0.8651;NA;NA;NA;1013865.4814;1013865.8984;1;0;0.2699;10;10;1;NA;-0.8651;-0.89442670478089;-1
10lj01;3;35;0;0;2;orientation;-1;NA;2.1822;-1.6067;14.6719;1013866.7845;1013867.0915;1;0;0.1325;10;10;1;-2.1822;NA;-0.733221964157122;-1
10lj01;3;36;0;0;1;motion;1;0.3272;NA;NA;NA;1013869.807;1013870.226;1;1;0.1343;10;10;1;NA;0.3272;1.12015764975579;1
10lj01;3;36;0;0;2;orientation;-1;NA;9.3662;-11.7465;14.4905;1013870.9764;1013871.2808;0;1;0.1515;10;10;1;-9.3662;NA;-2.10209530186081;-1
10lj01;3;37;0;0;1;motion;1;0.6938;NA;NA;NA;1013874.0137;1013874.4312;1;1;0.009;10;10;1;NA;0.6938;1.7395878471668;1
10lj01;3;37;0;0;2;orientation;1;NA;5.8633;6.3208;14.5659;1013875.0589;1013875.3632;1;1;0.2448;10;10;1;5.8633;NA;0.799805658127823;1
10lj01;3;38;0;0;1;motion;-1;0.3654;NA;NA;NA;1013878.017;1013878.4306;0;1;0.0577;10;10;1;NA;-0.3654;-0.0501024558821402;-1
10lj01;3;38;0;0;2;orientation;-1;NA;6.9958;-9.1494;15.4304;1013879.1183;1013879.425;0;1;0.1513;10;10;1;-6.9958;NA;-1.65042807473208;-1
10lj01;3;39;0;0;1;motion;-1;0.228;NA;NA;NA;1013881.7434;1013882.1499;0;1;0.2421;10;10;1;NA;-0.228;0.18205714347485;1
10lj01;3;39;0;0;2;orientation;-1;NA;5.0072;-3.9199;16.8376;1013883.0414;1013883.3454;0;1;0.2468;10;10;1;-5.0072;NA;-1.2715108253783;-1
10lj01;3;40;0;0;1;motion;1;0.3267;NA;NA;NA;1013885.4931;1013885.8995;0;0;0.1248;10;10;1;NA;0.3267;1.1193128186082;1
10lj01;3;40;0;0;2;orientation;1;NA;7.0088;7.1272;14.958;1013886.6577;1013886.9617;1;1;0.2623;10;10;1;7.0088;NA;1.01807464592565;1
10lj01;3;41;0;0;1;motion;1;0.2774;NA;NA;NA;1013889.4216;1013889.83;1;1;0.0182;10;10;1;NA;0.2774;1.0360124674561;1
10lj01;3;41;0;0;2;orientation;-1;NA;5.1798;-4.9552;15.0315;1013890.4447;1013890.7487;0;1;0.1232;10;10;1;-5.1798;NA;-1.30439884571344;-1
10lj01;3;42;0;0;1;motion;1;0.717;NA;NA;NA;1013893.4992;1013893.9131;1;1;0.1428;10;10;1;NA;0.717;1.77878801241485;1
10lj01;3;42;0;0;2;orientation;1;NA;3.3123;4.5108;15.908;1013894.674;1013894.978;1;1;0.1983;10;10;1;3.3123;NA;0.31372605282686;1
10lj01;3;43;0;0;1;motion;-1;0.8702;NA;NA;NA;1013897.2259;1013897.6464;0;1;0.0096;10;10;1;NA;-0.8702;-0.90304398248628;-1
10lj01;3;43;0;0;2;orientation;-1;NA;0.0138;-0.6747;14.5082;1013898.2905;1013898.5947;0;1;0.1976;10;10;1;-0.0138;NA;-0.320044772414822;-1
10lj01;3;44;0;0;1;motion;-1;0.8772;NA;NA;NA;1013901.4173;1013901.8293;0;1;0.1307;10;10;1;NA;-0.8772;-0.914871618552503;-1
10lj01;3;44;0;0;2;orientation;1;NA;5.1625;4.4891;15.5186;1013902.5907;1013902.8947;1;1;0.0733;10;10;1;5.1625;NA;0.666271911599044;1
10lj01;3;45;0;0;1;motion;1;0.3703;NA;NA;NA;1013905.3172;1013905.7292;1;1;0.0388;10;10;1;NA;0.3703;1.19298209467782;1
10lj01;3;45;0;0;2;orientation;-1;NA;2.9003;-4.196;14.3422;1013906.3835;1013906.6903;0;1;0.15;10;10;1;-2.9003;NA;-0.8700521345086;-1
10lj01;3;46;0;0;1;motion;-1;0.5043;NA;NA;NA;1013909.2333;1013909.6457;1;0;0.0107;10;10;1;NA;-0.5043;-0.284796548681893;-1
10lj01;3;46;0;0;2;orientation;-1;NA;9.35;-6.8745;15.0826;1013910.1916;1013910.4957;0;1;0.1846;10;10;1;-9.35;NA;-2.09900847724071;-1
10lj01;3;47;0;0;1;motion;-1;0.1216;NA;NA;NA;1013913.1418;1013913.5631;0;1;6e-04;10;10;1;NA;-0.1216;0.361837211681428;1
10lj01;3;47;0;0;2;orientation;-1;NA;11.989;-11.7267;14.8528;1013914.1761;1013914.4808;0;1;0.0714;10;10;1;-11.989;NA;-2.60185601874963;-1
