id_sess,block,trial,dual,lines_first,decision,task,side,coherence,mu,meanTilt,sdTilt,tOn,tOff,rr,acc,tResp,id,seq,signed_mu,signed_coherence,session,id_session
01zj01,1,45,0,1,2,motion,-1,0.0302,NaN,NaN,NaN,1131867.0003,1131867.4125,0,1,0.6911,1,01,NaN,-0.0302,1.0,1_1.0
01zj01,1,46,0,1,1,orientation,1,NaN,10.622,12.1791,16.8501,1131870.709,1131871.011,1,1,0.2285,1,01,10.622,NaN,1.0,1_1.0
01zj01,1,46,0,1,2,motion,1,0.0359,NaN,NaN,NaN,1131871.78,1131872.1274,1,1,0.4241,1,01,NaN,0.0359,1.0,1_1.0
01zj01,1,47,0,1,1,orientation,-1,NaN,1.2798,-1.6628,15.1206,1131874.4478,1131874.7497,0,1,0.2978,1,01,-1.2798,NaN,1.0,1_1.0
01zj01,1,47,0,1,2,motion,1,0.4205,NaN,NaN,NaN,1131875.5882,1131875.9377,1,1,0.3096,1,01,NaN,0.4205,1.0,1_1.0
01zj01,1,48,0,1,1,orientation,1,NaN,6.9207,6.6667,15.0841,1131878.6277,1131878.9297,1,1,0.5339,1,01,6.9207,NaN,1.0,1_1.0
01zj01,1,48,0,1,2,motion,-1,0.7652,NaN,NaN,NaN,1131879.9882,1131880.3375,0,1,0.2941,1,01,NaN,-0.7652,1.0,1_1.0
01zj01,1,49,0,1,1,orientation,1,NaN,6.6019,7.9741,14.6415,1131882.7444,1131883.0464,1,1,0.3372,1,01,6.6019,NaN,1.0,1_1.0
01zj01,1,49,0,1,2,motion,-1,0.8321,NaN,NaN,NaN,1131883.8932,1131884.243,0,1,0.2605,1,01,NaN,-0.8321,1.0,1_1.0
01zj01,1,50,0,1,1,orientation,-1,NaN,6.5745,-4.5479,15.0612,1131887.1249,1131887.4269,0,1,0.3726,1,01,-6.5745,NaN,1.0,1_1.0
01zj01,1,50,0,1,2,motion,-1,0.4017,NaN,NaN,NaN,1131888.3245,1131888.6871,0,1,0.3445,1,01,NaN,-0.4017,1.0,1_1.0
01zj01,2,1,0,1,1,orientation,1,NaN,5.1798,3.5037,12.8886,1131916.7727,1131917.0774,1,1,0.5619,1,01,5.1798,NaN,1.0,1_1.0
01zj01,2,1,0,1,2,motion,1,0.2774,NaN,NaN,NaN,1131918.1674,1131918.5689,1,1,0.2703,1,01,NaN,0.2774,1.0,1_1.0
01zj01,2,2,0,1,1,orientation,1,NaN,5.5062,4.1295,15.1741,1131921.0861,1131921.3888,0,0,0.6028,1,01,5.5062,NaN,1.0,1_1.0
01zj01,2,2,0,1,2,motion,1,0.2254,NaN,NaN,NaN,1131922.5004,1131922.8551,1,1,0.3203,1,01,NaN,0.2254,1.0,1_1.0
01zj01,2,3,0,1,1,orientation,-1,NaN,2.0151,-2.7132,16.0441,1131925.594,1131925.8959,0,1,0.3033,1,01,-2.0151,NaN,1.0,1_1.0
01zj01,2,3,0,1,2,motion,1,0.4654,NaN,NaN,NaN,1131926.7093,1131927.0574,1,1,0.3262,1,01,NaN,0.4654,1.0,1_1.0
01zj01,2,4,0,1,1,orientation,-1,NaN,2.3774,-0.4285,15.5897,1131929.5291,1131929.8312,0,1,0.4804,1,01,-2.3774,NaN,1.0,1_1.0
01zj01,2,4,0,1,2,motion,1,0.3538,NaN,NaN,NaN,1131930.8202,1131931.1683,1,1,0.2472,1,01,NaN,0.3538,1.0,1_1.0
01zj01,2,5,0,1,1,orientation,1,NaN,4.5433,3.3057,16.3157,1131933.3616,1131933.6635,1,1,0.52,1,01,4.5433,NaN,1.0,1_1.0
01zj01,2,5,0,1,2,motion,-1,0.6121,NaN,NaN,NaN,1131934.6923,1131935.0403,0,1,0.2952,1,01,NaN,-0.6121,1.0,1_1.0
01zj01,2,6,0,1,1,orientation,-1,NaN,3.7526,-2.7571,14.1303,1131937.6416,1131937.9436,0,1,0.3359,1,01,-3.7526,NaN,1.0,1_1.0
01zj01,2,6,0,1,2,motion,-1,0.404,NaN,NaN,NaN,1131938.8043,1131939.1542,0,1,0.3411,1,01,NaN,-0.404,1.0,1_1.0
01zj01,2,7,0,1,1,orientation,1,NaN,1.0132,2.1496,14.6514,1131941.7854,1131942.0878,1,1,0.4475,1,01,1.0132,NaN,1.0,1_1.0
01zj01,2,7,0,1,2,motion,1,0.8253,NaN,NaN,NaN,1131943.0441,1131943.392,1,1,0.3112,1,01,NaN,0.8253,1.0,1_1.0
01zj01,2,8,0,1,1,orientation,1,NaN,7.7879,6.037,15.0214,1131946.2662,1131946.5686,1,1,0.2708,1,01,7.7879,NaN,1.0,1_1.0
01zj01,2,8,0,1,2,motion,-1,0.9243,NaN,NaN,NaN,1131947.364,1131947.7174,0,1,0.3378,1,01,NaN,-0.9243,1.0,1_1.0
01zj01,2,9,0,1,1,orientation,-1,NaN,4.1998,-3.7703,12.9587,1131950.1924,1131950.4945,0,1,0.2811,1,01,-4.1998,NaN,1.0,1_1.0
01zj01,2,9,0,1,2,motion,1,0.8828,NaN,NaN,NaN,1131951.316,1131951.6672,1,1,0.2603,1,01,NaN,0.8828,1.0,1_1.0
01zj01,2,10,0,1,1,orientation,1,NaN,4.7911,2.4997,14.3528,1131954.5055,1131954.8075,1,1,0.8161,1,01,4.7911,NaN,1.0,1_1.0
01zj01,2,10,0,1,2,motion,1,0.0574,NaN,NaN,NaN,1131956.164,1131956.517,0,0,0.8342,1,01,NaN,0.0574,1.0,1_1.0
01zj01,2,11,0,1,1,orientation,1,NaN,2.2852,3.292,15.4802,1131959.8665,1131960.1732,1,1,0.506,1,01,2.2852,NaN,1.0,1_1.0
01zj01,2,11,0,1,2,motion,1,0.6357,NaN,NaN,NaN,1131961.2095,1131961.6284,1,1,0.171,1,01,NaN,0.6357,1.0,1_1.0
01zj01,2,12,0,1,1,orientation,-1,NaN,6.2598,-5.8302,15.2414,1131963.7964,1131964.1005,0,1,0.227,1,01,-6.2598,NaN,1.0,1_1.0
01zj01,2,12,0,1,2,motion,1,0.0679,NaN,NaN,NaN,1131964.8733,1131965.2769,1,1,0.2187,1,01,NaN,0.0679,1.0,1_1.0
01zj01,2,13,0,1,1,orientation,1,NaN,5.7591,5.4755,15.4165,1131967.898,1131968.2,1,1,0.3672,1,01,5.7591,NaN,1.0,1_1.0
01zj01,2,13,0,1,2,motion,-1,0.475,NaN,NaN,NaN,1131969.0762,1131969.4222,0,1,0.2812,1,01,NaN,-0.475,1.0,1_1.0
01zj01,2,14,0,1,1,orientation,1,NaN,4.2087,3.7439,14.3642,1131972.0341,1131972.3363,1,1,0.4392,1,01,4.2087,NaN,1.0,1_1.0
01zj01,2,14,0,1,2,motion,-1,0.5062,NaN,NaN,NaN,1131973.284,1131973.6328,0,1,0.2626,1,01,NaN,-0.5062,1.0,1_1.0
01zj01,2,15,0,1,1,orientation,-1,NaN,8.2706,-8.3353,14.3088,1131975.9826,1131976.286,0,1,0.2172,1,01,-8.2706,NaN,1.0,1_1.0
01zj01,2,15,0,1,2,motion,-1,0.6214,NaN,NaN,NaN,1131977.044,1131977.3993,0,1,0.2082,1,01,NaN,-0.6214,1.0,1_1.0
01zj01,2,16,0,1,1,orientation,1,NaN,1.0059,0.3855,15.9929,1131979.8368,1131980.1389,1,1,0.4446,1,01,1.0059,NaN,1.0,1_1.0
01zj01,2,16,0,1,2,motion,1,0.428,NaN,NaN,NaN,1131981.124,1131981.4714,1,1,0.312,1,01,NaN,0.428,1.0,1_1.0
01zj01,2,17,0,1,1,orientation,1,NaN,1.5238,2.4173,14.256,1131984.0968,1131984.3988,1,1,0.2007,1,01,1.5238,NaN,1.0,1_1.0
01zj01,2,17,0,1,2,motion,-1,0.8605,NaN,NaN,NaN,1131985.1564,1131985.5044,0,1,0.1827,1,01,NaN,-0.8605,1.0,1_1.0
01zj01,2,18,0,1,1,orientation,1,NaN,9.6034,8.5681,15.231,1131988.249,1131988.5521,1,1,0.2394,1,01,9.6034,NaN,1.0,1_1.0
01zj01,2,18,0,1,2,motion,-1,0.4611,NaN,NaN,NaN,1131989.3323,1131989.682,0,1,0.1495,1,01,NaN,-0.4611,1.0,1_1.0
01zj01,2,19,0,1,1,orientation,1,NaN,8.9176,8.5876,15.2578,1131991.8029,1131992.1049,1,1,0.1904,1,01,8.9176,NaN,1.0,1_1.0
01zj01,2,19,0,1,2,motion,-1,0.7199,NaN,NaN,NaN,1131992.821,1131993.1703,0,1,0.0852,1,01,NaN,-0.7199,1.0,1_1.0
01zj01,2,20,0,1,1,orientation,-1,NaN,1.5837,-1.9187,15.037,1131995.8766,1131996.1786,0,1,0.2928,1,01,-1.5837,NaN,1.0,1_1.0
01zj01,2,20,0,1,2,motion,1,0.0916,NaN,NaN,NaN,1131996.9801,1131997.3316,1,1,0.3395,1,01,NaN,0.0916,1.0,1_1.0
01zj01,2,21,0,1,1,orientation,1,NaN,5.8633,4.8968,16.6883,1132000.0925,1132000.3945,1,1,0.2211,1,01,5.8633,NaN,1.0,1_1.0
01zj01,2,21,0,1,2,motion,-1,0.6938,NaN,NaN,NaN,1132001.1562,1132001.5041,0,1,0.1671,1,01,NaN,-0.6938,1.0,1_1.0
01zj01,2,22,0,1,1,orientation,1,NaN,11.4923,10.9602,15.7747,1132004.2072,1132004.5119,1,1,0.1834,1,01,11.4923,NaN,1.0,1_1.0
01zj01,2,22,0,1,2,motion,-1,0.6058,NaN,NaN,NaN,1132005.2581,1132005.6769,0,1,0.0902,1,01,NaN,-0.6058,1.0,1_1.0
01zj01,2,23,0,1,1,orientation,-1,NaN,6.3257,-5.8418,16.4851,1132008.1653,1132008.4711,0,1,0.2404,1,01,-6.3257,NaN,1.0,1_1.0
01zj01,2,23,0,1,2,motion,1,0.4181,NaN,NaN,NaN,1132009.2577,1132009.6774,1,1,0.09,1,01,NaN,0.4181,1.0,1_1.0
