subject,task,session,file,condition,n_trials
sub22,task1,3,clean_epochs_task1_ICA_sub22_zzy1_sess3-epo.fif,correct_left,111
sub22,task1,3,clean_epochs_task1_ICA_sub22_zzy1_sess3-epo.fif,correct_right,142
sub22,task1,3,clean_epochs_task1_ICA_sub22_zzy1_sess3-epo.fif,error_left,20
sub22,task1,3,clean_epochs_task1_ICA_sub22_zzy1_sess3-epo.fif,error_right,27
sub22,task1,4,clean_epochs_task1_ICA_sub22_zzy1_sess4-epo.fif,correct,221
sub22,task1,4,clean_epochs_task1_ICA_sub22_zzy1_sess4-epo.fif,error,79
sub22,task1,4,clean_epochs_task1_ICA_sub22_zzy1_sess4-epo.fif,left,210
sub22,task1,4,clean_epochs_task1_ICA_sub22_zzy1_sess4-epo.fif,right,90
sub22,task1,4,clean_epochs_task1_ICA_sub22_zzy1_sess4-epo.fif,correct_left,148
sub22,task1,4,clean_epochs_task1_ICA_sub22_zzy1_sess4-epo.fif,correct_right,73
sub22,task1,4,clean_epochs_task1_ICA_sub22_zzy1_sess4-epo.fif,error_left,62
sub22,task1,4,clean_epochs_task1_ICA_sub22_zzy1_sess4-epo.fif,error_right,17
sub24,task1,2,clean_epochs_task1_ICA_sub24_czy1_sess1-epo.fif,correct,123
sub24,task1,2,clean_epochs_task1_ICA_sub24_czy1_sess1-epo.fif,error,27
sub24,task1,2,clean_epochs_task1_ICA_sub24_czy1_sess1-epo.fif,left,66
sub24,task1,2,clean_epochs_task1_ICA_sub24_czy1_sess1-epo.fif,right,84
sub24,task1,2,clean_epochs_task1_ICA_sub24_czy1_sess1-epo.fif,correct_left,59
sub24,task1,2,clean_epochs_task1_ICA_sub24_czy1_sess1-epo.fif,correct_right,64
sub24,task1,2,clean_epochs_task1_ICA_sub24_czy1_sess1-epo.fif,error_left,7
sub24,task1,2,clean_epochs_task1_ICA_sub24_czy1_sess1-epo.fif,error_right,20
sub24,task1,3,clean_epochs_task1_ICA_sub24_czy1_sess2-epo.fif,correct,118
sub24,task1,3,clean_epochs_task1_ICA_sub24_czy1_sess2-epo.fif,error,32
sub24,task1,3,clean_epochs_task1_ICA_sub24_czy1_sess2-epo.fif,left,67
sub24,task1,3,clean_epochs_task1_ICA_sub24_czy1_sess2-epo.fif,right,83
sub24,task1,3,clean_epochs_task1_ICA_sub24_czy1_sess2-epo.fif,correct_left,54
sub24,task1,3,clean_epochs_task1_ICA_sub24_czy1_sess2-epo.fif,correct_right,64
sub24,task1,3,clean_epochs_task1_ICA_sub24_czy1_sess2-epo.fif,error_left,13
sub24,task1,3,clean_epochs_task1_ICA_sub24_czy1_sess2-epo.fif,error_right,19
sub24,task1,4,clean_epochs_task1_ICA_sub24_czy1_sess3-epo.fif,correct,247
sub24,task1,4,clean_epochs_task1_ICA_sub24_czy1_sess3-epo.fif,error,53
sub24,task1,4,clean_epochs_task1_ICA_sub24_czy1_sess3-epo.fif,left,124
sub24,task1,4,clean_epochs_task1_ICA_sub24_czy1_sess3-epo.fif,right,176
sub24,task1,4,clean_epochs_task1_ICA_sub24_czy1_sess3-epo.fif,correct_left,114
sub24,task1,4,clean_epochs_task1_ICA_sub24_czy1_sess3-epo.fif,correct_right,133
sub24,task1,4,clean_epochs_task1_ICA_sub24_czy1_sess3-epo.fif,error_left,10
sub24,task1,4,clean_epochs_task1_ICA_sub24_czy1_sess3-epo.fif,error_right,43
sub25,task1,3,clean_epochs_task1_ICA_sub25_cjb1_sess1-epo.fif,correct,124
sub25,task1,3,clean_epochs_task1_ICA_sub25_cjb1_sess1-epo.fif,error,26
sub25,task1,3,clean_epochs_task1_ICA_sub25_cjb1_sess1-epo.fif,left,78
sub25,task1,3,clean_epochs_task1_ICA_sub25_cjb1_sess1-epo.fif,right,72
sub25,task1,3,clean_epochs_task1_ICA_sub25_cjb1_sess1-epo.fif,correct_left,69
sub25,task1,3,clean_epochs_task1_ICA_sub25_cjb1_sess1-epo.fif,correct_right,55
sub25,task1,3,clean_epochs_task1_ICA_sub25_cjb1_sess1-epo.fif,error_left,9
sub25,task1,3,clean_epochs_task1_ICA_sub25_cjb1_sess1-epo.fif,error_right,17
sub25,task1,4,clean_epochs_task1_ICA_sub25_cjb1_sess2-epo.fif,correct,122
sub25,task1,4,clean_epochs_task1_ICA_sub25_cjb1_sess2-epo.fif,error,28
sub25,task1,4,clean_epochs_task1_ICA_sub25_cjb1_sess2-epo.fif,left,67
sub25,task1,4,clean_epochs_task1_ICA_sub25_cjb1_sess2-epo.fif,right,83
sub25,task1,4,clean_epochs_task1_ICA_sub25_cjb1_sess2-epo.fif,correct_left,60
sub25,task1,4,clean_epochs_task1_ICA_sub25_cjb1_sess2-epo.fif,correct_right,62
sub25,task1,4,clean_epochs_task1_ICA_sub25_cjb1_sess2-epo.fif,error_left,7
sub25,task1,4,clean_epochs_task1_ICA_sub25_cjb1_sess2-epo.fif,error_right,21
sub26,task1,3,clean_epochs_task1_ICA_sub26_pzq1_sess1-epo.fif,correct,136
sub26,task1,3,clean_epochs_task1_ICA_sub26_pzq1_sess1-epo.fif,error,14
sub26,task1,3,clean_epochs_task1_ICA_sub26_pzq1_sess1-epo.fif,left,71
sub26,task1,3,clean_epochs_task1_ICA_sub26_pzq1_sess1-epo.fif,right,79
sub26,task1,3,clean_epochs_task1_ICA_sub26_pzq1_sess1-epo.fif,correct_left,66
sub26,task1,3,clean_epochs_task1_ICA_sub26_pzq1_sess1-epo.fif,correct_right,70
sub26,task1,3,clean_epochs_task1_ICA_sub26_pzq1_sess1-epo.fif,error_left,5
sub26,task1,3,clean_epochs_task1_ICA_sub26_pzq1_sess1-epo.fif,error_right,9
sub26,task1,4,clean_epochs_task1_ICA_sub26_pzq1_sess2-epo.fif,correct,131
sub26,task1,4,clean_epochs_task1_ICA_sub26_pzq1_sess2-epo.fif,error,19
sub26,task1,4,clean_epochs_task1_ICA_sub26_pzq1_sess2-epo.fif,left,78
sub26,task1,4,clean_epochs_task1_ICA_sub26_pzq1_sess2-epo.fif,right,72
sub26,task1,4,clean_epochs_task1_ICA_sub26_pzq1_sess2-epo.fif,correct_left,64
sub26,task1,4,clean_epochs_task1_ICA_sub26_pzq1_sess2-epo.fif,correct_right,67
sub26,task1,4,clean_epochs_task1_ICA_sub26_pzq1_sess2-epo.fif,error_left,14
sub26,task1,4,clean_epochs_task1_ICA_sub26_pzq1_sess2-epo.fif,error_right,5
sub27,task1,3,clean_epochs_task1_ICA_sub27_lyj1_sess1-epo.fif,correct,127
sub27,task1,3,clean_epochs_task1_ICA_sub27_lyj1_sess1-epo.fif,error,23
