"model" "logLik" "n_par" "AIC" "relModLik" "fixed_shift" "w1" "theta2" "m" "w" "id" "acc.stat" "acc.p.value"
"bayes" -136.437050121059 0 272.874100242118 0.000501441695548184 NA NA NA NA 0.000278693044804343 50 36.3895192712113 8.07848519775121e-10
"sub1" -137.598430580511 1 277.196861161022 5.77490489615443e-05 -0.399440245972774 NA NA NA 3.20959713413009e-05 50 36.3895192712113 8.07848519775121e-10
"sub2" -126.839026903615 2 257.678053807229 1 NA 1.08993039608494 -1.43905150649902 NA 0.555783548274085 50 36.3895192712113 8.07848519775121e-10
"metanoise" -128.06379375192 1 258.127587503839 0.798702415874422 NA NA NA 1.98121453814841 0.44390566270977 50 36.3895192712113 8.07848519775121e-10
"bayes" -242.412396577441 0 484.824793154882 5.53279122067689e-48 NA NA NA NA 4.1141634748643e-48 53 32.7165259990948 5.33134017622098e-09
"sub1" -134.116141326629 1 270.232282653258 0.219339003864265 -0.0159896489683695 NA NA NA 0.16309968735836 53 32.7165259990948 5.33134017622098e-09
"sub2" -131.599004543455 2 267.198009086909 1 NA 2.86835114696858 -0.423161124015055 NA 0.74359637130153 53 32.7165259990948 5.33134017622098e-09
"metanoise" -134.674640568691 1 271.349281137383 0.125476595826844 NA NA NA 10 0.0933039413401101 53 32.7165259990948 5.33134017622098e-09
"bayes" -293.918298503225 0 587.83659700645 3.06692963560006e-09 NA NA NA NA 3.06618489134036e-09 54 0.00570800690668836 0.530111979679103
"sub1" -282.972762667183 1 567.945525334366 6.39727684286801e-05 -0.624690250036172 NA NA NA 6.39572338851055e-05 54 0.00570800690668836 0.530111979679103
"sub2" -272.315709608728 2 548.631419217457 1 NA 1.2764008601666 -4.33603316996109 NA 0.999757169433868 54 0.00570800690668836 0.530111979679103
"metanoise" -281.944316534175 1 565.88863306835 0.000178913711779738 NA NA NA 1.80428196429417 0.000178870266061818 54 0.00570800690668836 0.530111979679103
