subject,task,id_sess,file,condition,component,tmin,tmax,roi,mean_amp_uV
sub27,task2,27ly03,clean_epochs_task2_ICA_sub27_lyj1_sess3-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-5.372891382840179
sub27,task2,27ly04,clean_epochs_task2_ICA_sub27_lyj1_sess4-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-9.702353261971009
sub27,task2,27ly04,clean_epochs_task2_ICA_sub27_lyj1_sess4-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-9.101465393118351
sub27,task2,27ly04,clean_epochs_task2_ICA_sub27_lyj1_sess4-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-9.23269539731667
sub27,task2,27ly04,clean_epochs_task2_ICA_sub27_lyj1_sess4-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-9.820404425103876
sub27,task2,27ly04,clean_epochs_task2_ICA_sub27_lyj1_sess4-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-9.415015545900307
sub27,task2,27ly04,clean_epochs_task2_ICA_sub27_lyj1_sess4-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-9.823096238404975
sub27,task2,27ly04,clean_epochs_task2_ICA_sub27_lyj1_sess4-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-8.272475948109514
sub27,task2,27ly04,clean_epochs_task2_ICA_sub27_lyj1_sess4-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-9.792289930625714
sub28,task2,28hb03,clean_epochs_task2_ICA_sub28_hbf1_sess1-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-3.0993744217786703
sub28,task2,28hb03,clean_epochs_task2_ICA_sub28_hbf1_sess1-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-2.687364626552516
sub28,task2,28hb03,clean_epochs_task2_ICA_sub28_hbf1_sess1-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-3.0714474508846576
sub28,task2,28hb03,clean_epochs_task2_ICA_sub28_hbf1_sess1-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-3.0449955600652414
sub28,task2,28hb03,clean_epochs_task2_ICA_sub28_hbf1_sess1-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-3.0450672034720068
sub28,task2,28hb03,clean_epochs_task2_ICA_sub28_hbf1_sess1-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-3.107402445354438
sub28,task2,28hb03,clean_epochs_task2_ICA_sub28_hbf1_sess1-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-3.1122169241587527
sub28,task2,28hb03,clean_epochs_task2_ICA_sub28_hbf1_sess1-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-2.0197395874570025
sub28,task2,28hb04,clean_epochs_task2_ICA_sub28_hbf1_sess2-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-2.5606457844104162
sub28,task2,28hb04,clean_epochs_task2_ICA_sub28_hbf1_sess2-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-2.057464086053196
sub28,task2,28hb04,clean_epochs_task2_ICA_sub28_hbf1_sess2-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-2.281844660146237
sub28,task2,28hb04,clean_epochs_task2_ICA_sub28_hbf1_sess2-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-2.5157696695918084
sub28,task2,28hb04,clean_epochs_task2_ICA_sub28_hbf1_sess2-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-2.3250546016216225
sub28,task2,28hb04,clean_epochs_task2_ICA_sub28_hbf1_sess2-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-2.608217080935077
sub28,task2,28hb04,clean_epochs_task2_ICA_sub28_hbf1_sess2-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-2.054992467400467
sub28,task2,28hb04,clean_epochs_task2_ICA_sub28_hbf1_sess2-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-2.057934870558478
