subject,task,id_sess,file,condition,n_trials
sub25,task1,25cj04,clean_epochs_response1_ICA_sub25_cjb1_sess4-epo.fif,correct_right,127
sub25,task1,25cj04,clean_epochs_response1_ICA_sub25_cjb1_sess4-epo.fif,error_left,11
sub25,task1,25cj04,clean_epochs_response1_ICA_sub25_cjb1_sess4-epo.fif,error_right,32
sub26,task1,26pz03,clean_epochs_response1_ICA_sub26_pzq1_sess3-epo.fif,correct,273
sub26,task1,26pz03,clean_epochs_response1_ICA_sub26_pzq1_sess3-epo.fif,error,27
sub26,task1,26pz03,clean_epochs_response1_ICA_sub26_pzq1_sess3-epo.fif,left,140
sub26,task1,26pz03,clean_epochs_response1_ICA_sub26_pzq1_sess3-epo.fif,right,160
sub26,task1,26pz03,clean_epochs_response1_ICA_sub26_pzq1_sess3-epo.fif,correct_left,130
sub26,task1,26pz03,clean_epochs_response1_ICA_sub26_pzq1_sess3-epo.fif,correct_right,143
sub26,task1,26pz03,clean_epochs_response1_ICA_sub26_pzq1_sess3-epo.fif,error_left,10
sub26,task1,26pz03,clean_epochs_response1_ICA_sub26_pzq1_sess3-epo.fif,error_right,17
sub26,task1,26pz04,clean_epochs_response1_ICA_sub26_pzq1_sess4-epo.fif,correct,263
sub26,task1,26pz04,clean_epochs_response1_ICA_sub26_pzq1_sess4-epo.fif,error,37
sub26,task1,26pz04,clean_epochs_response1_ICA_sub26_pzq1_sess4-epo.fif,left,149
sub26,task1,26pz04,clean_epochs_response1_ICA_sub26_pzq1_sess4-epo.fif,right,151
sub26,task1,26pz04,clean_epochs_response1_ICA_sub26_pzq1_sess4-epo.fif,correct_left,122
sub26,task1,26pz04,clean_epochs_response1_ICA_sub26_pzq1_sess4-epo.fif,correct_right,141
sub26,task1,26pz04,clean_epochs_response1_ICA_sub26_pzq1_sess4-epo.fif,error_left,27
sub26,task1,26pz04,clean_epochs_response1_ICA_sub26_pzq1_sess4-epo.fif,error_right,10
sub27,task1,27ly03,clean_epochs_response1_ICA_sub27_lyj1_sess3-epo.fif,correct,258
sub27,task1,27ly03,clean_epochs_response1_ICA_sub27_lyj1_sess3-epo.fif,error,42
sub27,task1,27ly03,clean_epochs_response1_ICA_sub27_lyj1_sess3-epo.fif,left,157
sub27,task1,27ly03,clean_epochs_response1_ICA_sub27_lyj1_sess3-epo.fif,right,143
sub27,task1,27ly03,clean_epochs_response1_ICA_sub27_lyj1_sess3-epo.fif,correct_left,135
sub27,task1,27ly03,clean_epochs_response1_ICA_sub27_lyj1_sess3-epo.fif,correct_right,123
sub27,task1,27ly03,clean_epochs_response1_ICA_sub27_lyj1_sess3-epo.fif,error_left,22
sub27,task1,27ly03,clean_epochs_response1_ICA_sub27_lyj1_sess3-epo.fif,error_right,20
sub27,task1,27ly04,clean_epochs_response1_ICA_sub27_lyj1_sess4-epo.fif,correct,203
sub27,task1,27ly04,clean_epochs_response1_ICA_sub27_lyj1_sess4-epo.fif,error,97
sub27,task1,27ly04,clean_epochs_response1_ICA_sub27_lyj1_sess4-epo.fif,left,225
sub27,task1,27ly04,clean_epochs_response1_ICA_sub27_lyj1_sess4-epo.fif,right,75
sub27,task1,27ly04,clean_epochs_response1_ICA_sub27_lyj1_sess4-epo.fif,correct_left,139
sub27,task1,27ly04,clean_epochs_response1_ICA_sub27_lyj1_sess4-epo.fif,correct_right,64
sub27,task1,27ly04,clean_epochs_response1_ICA_sub27_lyj1_sess4-epo.fif,error_left,86
sub27,task1,27ly04,clean_epochs_response1_ICA_sub27_lyj1_sess4-epo.fif,error_right,11
sub28,task1,28hb03,clean_epochs_response1_ICA_sub28_hbf1_sess1-epo.fif,correct,126
sub28,task1,28hb03,clean_epochs_response1_ICA_sub28_hbf1_sess1-epo.fif,error,24
sub28,task1,28hb03,clean_epochs_response1_ICA_sub28_hbf1_sess1-epo.fif,left,62
sub28,task1,28hb03,clean_epochs_response1_ICA_sub28_hbf1_sess1-epo.fif,right,88
sub28,task1,28hb03,clean_epochs_response1_ICA_sub28_hbf1_sess1-epo.fif,correct_left,55
sub28,task1,28hb03,clean_epochs_response1_ICA_sub28_hbf1_sess1-epo.fif,correct_right,71
sub28,task1,28hb03,clean_epochs_response1_ICA_sub28_hbf1_sess1-epo.fif,error_left,7
sub28,task1,28hb03,clean_epochs_response1_ICA_sub28_hbf1_sess1-epo.fif,error_right,17
sub28,task1,28hb04,clean_epochs_response1_ICA_sub28_hbf1_sess2-epo.fif,correct,108
sub28,task1,28hb04,clean_epochs_response1_ICA_sub28_hbf1_sess2-epo.fif,error,42
sub28,task1,28hb04,clean_epochs_response1_ICA_sub28_hbf1_sess2-epo.fif,left,100
sub28,task1,28hb04,clean_epochs_response1_ICA_sub28_hbf1_sess2-epo.fif,right,50
sub28,task1,28hb04,clean_epochs_response1_ICA_sub28_hbf1_sess2-epo.fif,correct_left,69
sub28,task1,28hb04,clean_epochs_response1_ICA_sub28_hbf1_sess2-epo.fif,correct_right,39
sub28,task1,28hb04,clean_epochs_response1_ICA_sub28_hbf1_sess2-epo.fif,error_left,31
sub28,task1,28hb04,clean_epochs_response1_ICA_sub28_hbf1_sess2-epo.fif,error_right,11
sub18,task2,18cl03,clean_epochs_task2_ICA_sub18_clr1_sess3-epo.fif,correct,284
sub18,task2,18cl03,clean_epochs_task2_ICA_sub18_clr1_sess3-epo.fif,error,16
sub18,task2,18cl03,clean_epochs_task2_ICA_sub18_clr1_sess3-epo.fif,left,14
sub18,task2,18cl03,clean_epochs_task2_ICA_sub18_clr1_sess3-epo.fif,right,286
sub18,task2,18cl03,clean_epochs_task2_ICA_sub18_clr1_sess3-epo.fif,correct_left,11
sub18,task2,18cl03,clean_epochs_task2_ICA_sub18_clr1_sess3-epo.fif,correct_right,273
sub18,task2,18cl03,clean_epochs_task2_ICA_sub18_clr1_sess3-epo.fif,error_left,3
sub18,task2,18cl03,clean_epochs_task2_ICA_sub18_clr1_sess3-epo.fif,error_right,13
sub18,task2,18cl04,clean_epochs_task2_ICA_sub18_clr1_sess4-epo.fif,correct,281
sub18,task2,18cl04,clean_epochs_task2_ICA_sub18_clr1_sess4-epo.fif,error,19
sub18,task2,18cl04,clean_epochs_task2_ICA_sub18_clr1_sess4-epo.fif,left,61
sub18,task2,18cl04,clean_epochs_task2_ICA_sub18_clr1_sess4-epo.fif,right,239
sub18,task2,18cl04,clean_epochs_task2_ICA_sub18_clr1_sess4-epo.fif,correct_left,58
sub18,task2,18cl04,clean_epochs_task2_ICA_sub18_clr1_sess4-epo.fif,correct_right,223
sub18,task2,18cl04,clean_epochs_task2_ICA_sub18_clr1_sess4-epo.fif,error_left,3
sub18,task2,18cl04,clean_epochs_task2_ICA_sub18_clr1_sess4-epo.fif,error_right,16
sub19,task2,19ll03,clean_epochs_task2_ICA_sub19_llx1_sess3-epo.fif,correct,267
sub19,task2,19ll03,clean_epochs_task2_ICA_sub19_llx1_sess3-epo.fif,error,33
sub19,task2,19ll03,clean_epochs_task2_ICA_sub19_llx1_sess3-epo.fif,left,58
sub19,task2,19ll03,clean_epochs_task2_ICA_sub19_llx1_sess3-epo.fif,right,242
sub19,task2,19ll03,clean_epochs_task2_ICA_sub19_llx1_sess3-epo.fif,correct_left,45
sub19,task2,19ll03,clean_epochs_task2_ICA_sub19_llx1_sess3-epo.fif,correct_right,222
sub19,task2,19ll03,clean_epochs_task2_ICA_sub19_llx1_sess3-epo.fif,error_left,13
sub19,task2,19ll03,clean_epochs_task2_ICA_sub19_llx1_sess3-epo.fif,error_right,20
sub19,task2,19ll04,clean_epochs_task2_ICA_sub19_llx1_sess4-epo.fif,correct,271
sub19,task2,19ll04,clean_epochs_task2_ICA_sub19_llx1_sess4-epo.fif,error,29
sub19,task2,19ll04,clean_epochs_task2_ICA_sub19_llx1_sess4-epo.fif,left,32
sub19,task2,19ll04,clean_epochs_task2_ICA_sub19_llx1_sess4-epo.fif,right,268
sub19,task2,19ll04,clean_epochs_task2_ICA_sub19_llx1_sess4-epo.fif,correct_left,23
sub19,task2,19ll04,clean_epochs_task2_ICA_sub19_llx1_sess4-epo.fif,correct_right,248
sub19,task2,19ll04,clean_epochs_task2_ICA_sub19_llx1_sess4-epo.fif,error_left,9
sub19,task2,19ll04,clean_epochs_task2_ICA_sub19_llx1_sess4-epo.fif,error_right,20
sub20,task2,20py03,clean_epochs_task2_ICA_sub20_pyb1_sess3-epo.fif,correct,277
sub20,task2,20py03,clean_epochs_task2_ICA_sub20_pyb1_sess3-epo.fif,error,23
sub20,task2,20py03,clean_epochs_task2_ICA_sub20_pyb1_sess3-epo.fif,left,35
sub20,task2,20py03,clean_epochs_task2_ICA_sub20_pyb1_sess3-epo.fif,right,265
sub20,task2,20py03,clean_epochs_task2_ICA_sub20_pyb1_sess3-epo.fif,correct_left,26
sub20,task2,20py03,clean_epochs_task2_ICA_sub20_pyb1_sess3-epo.fif,correct_right,251
sub20,task2,20py03,clean_epochs_task2_ICA_sub20_pyb1_sess3-epo.fif,error_left,9
sub20,task2,20py03,clean_epochs_task2_ICA_sub20_pyb1_sess3-epo.fif,error_right,14
sub20,task2,20py04,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,correct,275
sub20,task2,20py04,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,error,25
sub20,task2,20py04,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,left,50
sub20,task2,20py04,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,right,250
sub20,task2,20py04,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,correct_left,43
sub20,task2,20py04,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,correct_right,232
sub20,task2,20py04,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,error_left,7
sub20,task2,20py04,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,error_right,18
sub21,task2,21zf03,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,correct,221
sub21,task2,21zf03,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,error,79
sub21,task2,21zf03,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,left,24
sub21,task2,21zf03,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,right,276
sub21,task2,21zf03,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,correct_left,13
sub21,task2,21zf03,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,correct_right,208
sub21,task2,21zf03,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,error_left,11
sub21,task2,21zf03,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,error_right,68
sub21,task2,21zf04,clean_epochs_task2_ICA_sub21_zfy1_sess4-epo.fif,correct,251
sub21,task2,21zf04,clean_epochs_task2_ICA_sub21_zfy1_sess4-epo.fif,error,49
sub21,task2,21zf04,clean_epochs_task2_ICA_sub21_zfy1_sess4-epo.fif,left,33
sub21,task2,21zf04,clean_epochs_task2_ICA_sub21_zfy1_sess4-epo.fif,right,267
sub21,task2,21zf04,clean_epochs_task2_ICA_sub21_zfy1_sess4-epo.fif,correct_left,18
sub21,task2,21zf04,clean_epochs_task2_ICA_sub21_zfy1_sess4-epo.fif,correct_right,233
sub21,task2,21zf04,clean_epochs_task2_ICA_sub21_zfy1_sess4-epo.fif,error_left,15
sub21,task2,21zf04,clean_epochs_task2_ICA_sub21_zfy1_sess4-epo.fif,error_right,34
sub22,task2,22zz03,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,correct,116
sub22,task2,22zz03,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,error,34
sub22,task2,22zz03,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,left,8
sub22,task2,22zz03,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,right,142
sub22,task2,22zz03,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,correct_left,1
sub22,task2,22zz03,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,correct_right,115
sub22,task2,22zz03,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,error_left,7
sub22,task2,22zz03,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,error_right,27
sub22,task2,22zz04,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,correct,119
sub22,task2,22zz04,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,error,31
sub22,task2,22zz04,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,left,10
sub22,task2,22zz04,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,right,140
sub22,task2,22zz04,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,correct_left,9
sub22,task2,22zz04,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,correct_right,110
sub22,task2,22zz04,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,error_left,1
sub22,task2,22zz04,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,error_right,30
sub24,task2,24cz03,clean_epochs_task2_ICA_sub24_czy1_sess1-epo.fif,correct,122
sub24,task2,24cz03,clean_epochs_task2_ICA_sub24_czy1_sess1-epo.fif,error,28
sub24,task2,24cz03,clean_epochs_task2_ICA_sub24_czy1_sess1-epo.fif,left,12
sub24,task2,24cz03,clean_epochs_task2_ICA_sub24_czy1_sess1-epo.fif,right,138
sub24,task2,24cz03,clean_epochs_task2_ICA_sub24_czy1_sess1-epo.fif,correct_left,8
sub24,task2,24cz03,clean_epochs_task2_ICA_sub24_czy1_sess1-epo.fif,correct_right,114
sub24,task2,24cz03,clean_epochs_task2_ICA_sub24_czy1_sess1-epo.fif,error_left,4
sub24,task2,24cz03,clean_epochs_task2_ICA_sub24_czy1_sess1-epo.fif,error_right,24
sub24,task2,24cz04,clean_epochs_task2_ICA_sub24_czy1_sess2-epo.fif,correct,124
sub24,task2,24cz04,clean_epochs_task2_ICA_sub24_czy1_sess2-epo.fif,error,26
sub24,task2,24cz04,clean_epochs_task2_ICA_sub24_czy1_sess2-epo.fif,left,1
sub24,task2,24cz04,clean_epochs_task2_ICA_sub24_czy1_sess2-epo.fif,right,149
