"model" "logLik" "n_par" "AIC" "relModLik" "fixed_shift" "w1" "theta2" "m" "w" "id" "seq" "acc.stat" "acc.p.value"
"bayes" -204.357811231387 0 408.715622462774 2.21220685915457e-12 NA NA NA NA 1.09181473773948e-12 "2_01" 1 18.9681243573459 6.64602915369875e-06
"sub1" -176.520780711543 1 355.041561423085 1 -0.307104237171299 NA NA NA 0.493540978422214 "2_01" 1 18.9681243573459 6.64602915369875e-06
"sub2" -176.44234523661 2 356.88469047322 0.397896035535961 NA 0.283255210507829 -0.374336821470516 NA 0.196377998688738 "2_01" 1 18.9681243573459 6.64602915369875e-06
"metanoise" -176.985552975801 1 355.971105951603 0.628278170293466 NA NA NA 4.25516752552526 0.310081022887956 "2_01" 1 18.9681243573459 6.64602915369875e-06
"bayes" -94.9798549084275 0 189.959709816855 1 NA NA NA NA 0.477880416039886 "2_02" 2 24.3979762447614 3.91754788023302e-07
"sub1" -97.1101987267338 1 196.220397453468 0.0437027688574073 -1.03715519343512 NA NA NA 0.0208846973636728 "2_02" 2 24.3979762447614 3.91754788023302e-07
"sub2" -95.8778058185745 2 195.755611637149 0.0551360831721422 NA 0.218942668114966 -1.22054979532943 NA 0.0263484543651131 "2_02" 2 24.3979762447614 3.91754788023302e-07
"metanoise" -93.9861397485622 1 189.972279497124 0.993734868163528 NA NA NA 0.819281587436891 0.474886432231328 "2_02" 2 24.3979762447614 3.91754788023302e-07
"bayes" -133.661085688136 0 267.322171376273 1 NA NA NA NA 0.434850486032463 "2_03" 3 14.9449100668613 5.53481426797581e-05
"sub1" -133.487036015046 1 268.974072030091 0.437818723785971 -0.826084148683138 NA NA NA 0.190385684832442 "2_03" 3 14.9449100668613 5.53481426797581e-05
"sub2" -132.503677788634 2 269.007355577268 0.430592935442412 NA 0.276528102227427 -1.04209166181411 NA 0.187243547259278 "2_03" 3 14.9449100668613 5.53481426797581e-05
"metanoise" -133.502200940308 1 269.004401880616 0.431229325708555 NA NA NA 1.09440332694264 0.187520281875817 "2_03" 3 14.9449100668613 5.53481426797581e-05
"bayes" -282.616842142411 0 565.233684284822 1.13843750080826e-23 NA NA NA NA 5.06429051668988e-24 "4_01" 1 0.0456083007107293 0.584555292395698
"sub1" -228.878784875247 1 459.757569750495 0.912339442192791 -0.23766077759609 NA NA NA 0.405850297606919 "4_01" 1 0.0456083007107293 0.584555292395698
"sub2" -228.878784875247 2 461.757569750495 0.335630924152549 NA 0 -0.237660779911953 NA 0.149303980682897 "4_01" 1 0.0456083007107293 0.584555292395698
"metanoise" -228.787041712479 1 459.574083424958 1 NA NA NA 5.3489638876928 0.444845721710184 "4_01" 1 0.0456083007107293 0.584555292395698
"bayes" -149.103563614094 0 298.207127228187 5.50557672746301e-06 NA NA NA NA 4.62865347518822e-06 "4_02" 2 4.33316752335157 0.0186883144179492
"sub1" -137.679366817668 1 277.358733635336 0.18534205177531 -1.2348384406392 NA NA NA 0.155820938389432 "4_02" 2 4.33316752335157 0.0186883144179492
"sub2" -134.993814585115 2 273.98762917023 1 NA 0.226217584573231 -1.57105402642065 NA 0.840720909782166 "4_02" 2 4.33316752335157 0.0186883144179492
"metanoise" -141.488679414732 1 284.977358829463 0.0041078116825022 NA NA NA 0.561019193257547 0.00345352317492706 "4_02" 2 4.33316752335157 0.0186883144179492
"bayes" -150.202106931776 0 300.404213863552 1.87851125314933e-23 NA NA NA NA 1.1488481272183e-23 "4_03" 3 4.3915883111863 0.0180583261521315
"sub1" -103.786680936098 1 209.573361872197 0.000994220478374053 -1.82166661549276 NA NA NA 0.000608039122846452 "4_03" 3 4.3915883111863 0.0180583261521315
"sub2" -95.8731293694242 2 195.746258738848 1 NA 0.246279588291936 -2.86779956429701 NA 0.611573726424182 "4_03" 3 4.3915883111863 0.0180583261521315
"metanoise" -97.3286281218461 1 196.657256243692 0.634131614385253 NA NA NA 0.246468713270415 0.387818234452972 "4_03" 3 4.3915883111863 0.0180583261521315
"bayes" -104.259899798546 0 208.519799597092 2.21437924104174e-11 NA NA NA NA 2.04874895128843e-11 "6_01" 1 20.302865880728 3.30507498168465e-06
"sub1" -82.3612090771748 1 166.72241815435 0.0263899192142929 -1.74994186541486 NA NA NA 0.0244160161515214 "6_01" 1 20.302865880728 3.30507498168465e-06
"sub2" -80.6368223537771 2 165.273644707554 0.0544546809031514 NA 0.159254964914181 -2.01930317600889 NA 0.0503816005521226 "6_01" 1 20.302865880728 3.30507498168465e-06
"metanoise" -78.726435887479 1 159.452871774958 1 NA NA NA 0.416880155813092 0.925202383275868 "6_01" 1 20.302865880728 3.30507498168465e-06
"bayes" -147.808053043308 0 295.616106086615 4.85073230329643e-52 NA NA NA NA 3.51897550209921e-52 "6_02" 2 0.426136363636364 0.256945445628857
"sub1" -28.6527578915392 1 59.3055157830783 1 -2.86600920732423 NA NA NA 0.725452422865679 "6_02" 2 0.426136363636364 0.256945445628857
