time,group_mean_auc,group_sem_auc,t_value_vs_0.5,p_value,p_value_two_sided,significant_uncorrected_p_lt_threshold,significant_after_min_duration_filter
-0.03999999999999998,0.5335454659651556,0.008368841171686759,4.00837646180283,0.0005070055351055248,0.0010140110702110496,1,1
-0.02999999999999997,0.5115472755120711,0.009277990586392818,1.2445879745778645,0.11560309229242591,0.23120618458485181,0,0
-0.019999999999999962,0.5273384532543195,0.008558969448489832,3.1941290851485826,0.002823471552815371,0.005646943105630742,1,1
-0.010000000000000009,0.5184963284519403,0.009373032992321608,1.9733557395020873,0.03299234368272559,0.06598468736545118,1,1
0.0,0.5185643420129196,0.0077012780178226,2.410553413337012,0.014158934454292987,0.028317868908585973,1,1
0.010000000000000009,0.519456698284956,0.006212991252596551,3.1316152709573832,0.0032193927673409718,0.0064387855346819435,1,1
0.020000000000000018,0.520704457442038,0.007862589639591886,2.6332872998714274,0.009037296910579511,0.018074593821159023,1,1
0.030000000000000027,0.5320980165256353,0.008924186010272695,3.5967444525121963,0.001207885541404478,0.002415771082808956,1,1
0.040000000000000036,0.5261744656892885,0.009962015661537333,2.627426675341049,0.009145806263412335,0.01829161252682467,1,1
0.04999999999999999,0.5123837429655395,0.006910387250075463,1.7920476114278867,0.04602723346076898,0.09205446692153796,1,1
0.06,0.5192235556131533,0.008762667282281035,2.1938018406821347,0.021682138952317864,0.04336427790463573,1,1
0.07,0.5209756935982067,0.010800097973766428,1.9421762329524177,0.03496606051182245,0.0699321210236449,1,1
0.08000000000000002,0.5249675282965363,0.012274966479479132,2.034020079669962,0.029437981614000207,0.058875963228000414,1,1
0.09000000000000002,0.5132437258810352,0.007560486597273623,1.7517028448686063,0.04948322742258375,0.0989664548451675,1,1
0.10000000000000003,0.5371033918650695,0.009356045953215715,3.9657128717197994,0.0005545977428638568,0.0011091954857277136,1,1
0.11000000000000004,0.5351286087138263,0.01010381611327163,3.4767664335937316,0.0015562941354843895,0.003112588270968779,1,1
0.12000000000000005,0.5256714501620756,0.008449808457096107,3.038110306573501,0.003915478266156024,0.007830956532312049,1,1
0.13000000000000006,0.5219131926300092,0.009167695542783684,2.390261819641046,0.01474245422059462,0.02948490844118924,1,1
0.14000000000000007,0.5255250093553729,0.008190397307872938,3.1164555754624113,0.0033233545841773126,0.006646709168354625,1,1
0.14999999999999997,0.5228686596469196,0.008819311111111582,2.5930210828039706,0.009808416638860716,0.019616833277721433,1,1
0.15999999999999998,0.5311364627259296,0.008238674882454505,3.7793047025364963,0.0008214665632923692,0.0016429331265847384,1,1
0.16999999999999998,0.5350704427229209,0.00944727632229213,3.712227897914605,0.0009464261051158432,0.0018928522102316864,1,1
0.18,0.5533001489514441,0.008357432051641005,6.377574908428773,4.580940446598004e-06,9.161880893196007e-06,1,1
0.19,0.5471931007081652,0.008624006540005601,5.472294169681199,2.5577970664053508e-05,5.1155941328107016e-05,1,1
0.2,0.5420572319335009,0.007100948791389435,5.92276231938177,1.0720954577065924e-05,2.1441909154131848e-05,1,1
0.21000000000000002,0.5361253761825772,0.011477616587878995,3.1474632303650547,0.003114131597990776,0.006228263195981552,1,1
0.22000000000000003,0.5475483855792674,0.01090085866113932,4.361893595481023,0.0002420462073789166,0.0004840924147578332,1,1
0.23000000000000004,0.5494522423180499,0.014744251394880694,3.3540015693994514,0.0020165574014330088,0.0040331148028660176,1,1
0.24000000000000005,0.5434880132828263,0.015074311073977371,2.8849088405704433,0.00538652838696728,0.01077305677393456,1,1
0.25000000000000006,0.5550824462629029,0.01404090534940109,3.922998189376189,0.0006067713529459399,0.0012135427058918799,1,1
0.26000000000000006,0.566331210492506,0.01088208640382845,6.095449717176468,7.737181939773501e-06,1.5474363879547002e-05,1,1
0.26999999999999996,0.5578769140256894,0.01290826216606967,4.483710764553821,0.0001879991244346237,0.0003759982488692474,1,1
0.27999999999999997,0.5571054599981986,0.00987729904217436,5.78148537918799,1.4041557881973031e-05,2.8083115763946062e-05,1,1
0.29,0.5567267572299293,0.008843795301188617,6.414300116411006,4.282243565398004e-06,8.564487130796007e-06,1,1
