subject,task,condition,component,roi,mean_amp_uV
sub25,task2,correct_left,N1,"O1,Oz,O2",-3.656204563819036
sub25,task2,correct_right,N1,"O1,Oz,O2",-3.509920753822127
sub25,task2,error,N1,"O1,Oz,O2",-3.9106856759165924
sub25,task2,error_left,N1,"O1,Oz,O2",-3.14668805944852
sub25,task2,error_right,N1,"O1,Oz,O2",-4.0286507489052195
sub25,task2,left,N1,"O1,Oz,O2",-3.4932493777554976
sub25,task2,right,N1,"O1,Oz,O2",-3.588601089305428
sub26,task2,correct,N1,"O1,Oz,O2",-3.1202189680654606
sub26,task2,correct_left,N1,"O1,Oz,O2",-3.239103725229887
sub26,task2,correct_right,N1,"O1,Oz,O2",-3.1334795431809224
sub26,task2,error,N1,"O1,Oz,O2",-3.5015886176038644
sub26,task2,error_left,N1,"O1,Oz,O2",-3.4508001894644913
sub26,task2,error_right,N1,"O1,Oz,O2",-3.665312644438254
sub26,task2,left,N1,"O1,Oz,O2",-3.14679031392823
sub26,task2,right,N1,"O1,Oz,O2",-3.171457132877422
sub27,task2,correct,N1,"O1,Oz,O2",-8.070619886128627
sub27,task2,correct_left,N1,"O1,Oz,O2",-8.118953338380782
sub27,task2,correct_right,N1,"O1,Oz,O2",-8.073619296817311
sub27,task2,error,N1,"O1,Oz,O2",-7.81708238987374
sub27,task2,error_left,N1,"O1,Oz,O2",-8.70136200423654
sub27,task2,error_right,N1,"O1,Oz,O2",-7.463214782069018
sub27,task2,left,N1,"O1,Oz,O2",-8.160253899671503
sub27,task2,right,N1,"O1,Oz,O2",-8.038494051339736
sub28,task2,correct,N1,"O1,Oz,O2",-3.1502321554226818
sub28,task2,correct_left,N1,"O1,Oz,O2",-3.3596642650456867
sub28,task2,correct_right,N1,"O1,Oz,O2",-3.097830365090094
sub28,task2,error,N1,"O1,Oz,O2",-2.2881056178038435
sub28,task2,error_left,N1,"O1,Oz,O2",-2.181099375119167
sub28,task2,error_right,N1,"O1,Oz,O2",-1.9956099213486684
sub28,task2,left,N1,"O1,Oz,O2",-3.0126664882569
sub28,task2,right,N1,"O1,Oz,O2",-3.0034872769611596
