subject,task,session,file,condition,n_trials
sub21,task2,3,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,left,24
sub21,task2,3,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,right,276
sub21,task2,3,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,correct_left,13
sub21,task2,3,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,correct_right,208
sub21,task2,3,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,error_left,11
sub21,task2,3,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,error_right,68
sub21,task2,4,clean_epochs_task2_ICA_sub21_zfy1_sess4-epo.fif,correct,251
sub21,task2,4,clean_epochs_task2_ICA_sub21_zfy1_sess4-epo.fif,error,49
sub21,task2,4,clean_epochs_task2_ICA_sub21_zfy1_sess4-epo.fif,left,33
sub21,task2,4,clean_epochs_task2_ICA_sub21_zfy1_sess4-epo.fif,right,267
sub21,task2,4,clean_epochs_task2_ICA_sub21_zfy1_sess4-epo.fif,correct_left,18
sub21,task2,4,clean_epochs_task2_ICA_sub21_zfy1_sess4-epo.fif,correct_right,233
sub21,task2,4,clean_epochs_task2_ICA_sub21_zfy1_sess4-epo.fif,error_left,15
sub21,task2,4,clean_epochs_task2_ICA_sub21_zfy1_sess4-epo.fif,error_right,34
sub21,task2,1,clean_epochs_task2_ICA_sub21_zfy1_sess1-epo.fif,correct,109
sub21,task2,1,clean_epochs_task2_ICA_sub21_zfy1_sess1-epo.fif,error,41
sub21,task2,1,clean_epochs_task2_ICA_sub21_zfy1_sess1-epo.fif,left,73
sub21,task2,1,clean_epochs_task2_ICA_sub21_zfy1_sess1-epo.fif,right,77
sub21,task2,1,clean_epochs_task2_ICA_sub21_zfy1_sess1-epo.fif,correct_left,52
sub21,task2,1,clean_epochs_task2_ICA_sub21_zfy1_sess1-epo.fif,correct_right,57
sub21,task2,1,clean_epochs_task2_ICA_sub21_zfy1_sess1-epo.fif,error_left,21
sub21,task2,1,clean_epochs_task2_ICA_sub21_zfy1_sess1-epo.fif,error_right,20
sub21,task2,2,clean_epochs_task2_ICA_sub21_zfy1_sess2-epo.fif,correct,129
sub21,task2,2,clean_epochs_task2_ICA_sub21_zfy1_sess2-epo.fif,error,21
sub21,task2,2,clean_epochs_task2_ICA_sub21_zfy1_sess2-epo.fif,left,71
sub21,task2,2,clean_epochs_task2_ICA_sub21_zfy1_sess2-epo.fif,right,79
sub21,task2,2,clean_epochs_task2_ICA_sub21_zfy1_sess2-epo.fif,correct_left,60
sub21,task2,2,clean_epochs_task2_ICA_sub21_zfy1_sess2-epo.fif,correct_right,69
sub21,task2,2,clean_epochs_task2_ICA_sub21_zfy1_sess2-epo.fif,error_left,11
sub21,task2,2,clean_epochs_task2_ICA_sub21_zfy1_sess2-epo.fif,error_right,10
sub22,task2,1,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,correct,127
sub22,task2,1,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,error,23
sub22,task2,1,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,left,86
sub22,task2,1,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,right,64
sub22,task2,1,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,correct_left,68
sub22,task2,1,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,correct_right,59
sub22,task2,1,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,error_left,18
sub22,task2,1,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,error_right,5
sub22,task2,2,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,correct,135
sub22,task2,2,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,error,15
sub22,task2,2,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,left,65
sub22,task2,2,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,right,85
sub22,task2,2,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,correct_left,59
sub22,task2,2,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,correct_right,76
sub22,task2,2,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,error_left,6
sub22,task2,2,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,error_right,9
sub22,task2,3,clean_epochs_task2_ICA_sub22_zzy1_sess3-epo.fif,correct,246
sub22,task2,3,clean_epochs_task2_ICA_sub22_zzy1_sess3-epo.fif,error,54
sub22,task2,3,clean_epochs_task2_ICA_sub22_zzy1_sess3-epo.fif,left,15
sub22,task2,3,clean_epochs_task2_ICA_sub22_zzy1_sess3-epo.fif,right,285
sub22,task2,3,clean_epochs_task2_ICA_sub22_zzy1_sess3-epo.fif,correct_left,4
sub22,task2,3,clean_epochs_task2_ICA_sub22_zzy1_sess3-epo.fif,correct_right,242
sub22,task2,3,clean_epochs_task2_ICA_sub22_zzy1_sess3-epo.fif,error_left,11
sub22,task2,3,clean_epochs_task2_ICA_sub22_zzy1_sess3-epo.fif,error_right,43
sub22,task2,4,clean_epochs_task2_ICA_sub22_zzy1_sess4-epo.fif,correct,229
sub22,task2,4,clean_epochs_task2_ICA_sub22_zzy1_sess4-epo.fif,error,71
sub22,task2,4,clean_epochs_task2_ICA_sub22_zzy1_sess4-epo.fif,left,22
sub22,task2,4,clean_epochs_task2_ICA_sub22_zzy1_sess4-epo.fif,right,278
sub22,task2,4,clean_epochs_task2_ICA_sub22_zzy1_sess4-epo.fif,correct_left,15
sub22,task2,4,clean_epochs_task2_ICA_sub22_zzy1_sess4-epo.fif,correct_right,214
sub22,task2,4,clean_epochs_task2_ICA_sub22_zzy1_sess4-epo.fif,error_left,7
sub22,task2,4,clean_epochs_task2_ICA_sub22_zzy1_sess4-epo.fif,error_right,64
sub24,task2,1,clean_epochs_task2_ICA_sub24_czy1_sess1-epo.fif,correct,115
sub24,task2,1,clean_epochs_task2_ICA_sub24_czy1_sess1-epo.fif,error,35
sub24,task2,1,clean_epochs_task2_ICA_sub24_czy1_sess1-epo.fif,left,60
sub24,task2,1,clean_epochs_task2_ICA_sub24_czy1_sess1-epo.fif,right,90
sub24,task2,1,clean_epochs_task2_ICA_sub24_czy1_sess1-epo.fif,correct_left,46
sub24,task2,1,clean_epochs_task2_ICA_sub24_czy1_sess1-epo.fif,correct_right,69
sub24,task2,1,clean_epochs_task2_ICA_sub24_czy1_sess1-epo.fif,error_left,14
sub24,task2,1,clean_epochs_task2_ICA_sub24_czy1_sess1-epo.fif,error_right,21
sub24,task2,2,clean_epochs_task2_ICA_sub24_czy1_sess2-epo.fif,correct,113
sub24,task2,2,clean_epochs_task2_ICA_sub24_czy1_sess2-epo.fif,error,37
sub24,task2,2,clean_epochs_task2_ICA_sub24_czy1_sess2-epo.fif,left,64
sub24,task2,2,clean_epochs_task2_ICA_sub24_czy1_sess2-epo.fif,right,86
sub24,task2,2,clean_epochs_task2_ICA_sub24_czy1_sess2-epo.fif,correct_left,51
sub24,task2,2,clean_epochs_task2_ICA_sub24_czy1_sess2-epo.fif,correct_right,62
