train_time,test_time,mean_auc,sem_auc,t_value_vs_0.5,cluster_corrected_significant
-0.276,-0.055999999999999994,0.49052793179917725,0.0055367684085547144,-1.7107575216958135,0
-0.276,-0.05399999999999999,0.49166853487202705,0.005400266014404718,-1.542787911882397,0
-0.276,-0.05199999999999999,0.4923631602277478,0.005407543293358185,-1.4122567972099564,0
-0.276,-0.04999999999999999,0.49269733744100086,0.005461323323269792,-1.3371599018654847,0
-0.276,-0.04799999999999999,0.49330974392044313,0.0056499188417122054,-1.1841331295175492,0
-0.276,-0.045999999999999985,0.4937759588107622,0.005772728017761924,-1.0781802243388827,0
-0.276,-0.043999999999999984,0.4946705839602763,0.005726048289086937,-0.9307319412378697,0
-0.276,-0.04199999999999998,0.495561939056738,0.005727172186749284,-0.7749131331392686,0
-0.276,-0.03999999999999998,0.49598248711260123,0.00569432202278568,-0.705529626059577,0
-0.276,-0.03799999999999998,0.49610926318449855,0.005705412600788717,-0.6819378523060164,0
-0.276,-0.035999999999999976,0.49532368464040766,0.005889863287862231,-0.7939599157130347,0
-0.276,-0.033999999999999975,0.49427998792403355,0.00626038147009867,-0.9136842704053788,0
-0.276,-0.03199999999999997,0.49346182176546083,0.006757864937436111,-0.9674916996816614,0
-0.276,-0.02999999999999997,0.4928002672323383,0.007257506415947745,-0.992039463009096,0
-0.276,-0.02799999999999997,0.49261311547474956,0.007607772996865747,-0.9709654229028322,0
-0.276,-0.025999999999999968,0.49263478383264425,0.007681109277200513,-0.9588740247736887,0
-0.276,-0.023999999999999966,0.49315539266003333,0.007682644341164494,-0.8909181573449251,0
-0.276,-0.021999999999999964,0.49419360315791155,0.007578923294532576,-0.7661242390825029,0
-0.276,-0.019999999999999962,0.4953995867617331,0.007430084156679626,-0.6191603138345511,0
-0.276,-0.01799999999999996,0.49615717767207385,0.007255053226777076,-0.529675277052831,0
-0.276,-0.01599999999999996,0.49646713463934994,0.00699938773555878,-0.5047391992162682,0
-0.276,-0.013999999999999957,0.4970197417673243,0.0068033695758078746,-0.4380562013378304,0
-0.276,-0.01200000000000001,0.49739453269178807,0.006472641867330064,-0.40253537297695485,0
-0.276,-0.010000000000000009,0.4981146291087042,0.006029736747371746,-0.31267880676840576,0
-0.276,-0.008000000000000007,0.49944625445964197,0.005502233204012521,-0.10064014370642191,0
-0.276,-0.006000000000000005,0.500573589586355,0.005340618832011085,0.10740133388981467,0
-0.276,-0.0040000000000000036,0.5013584307973918,0.005432887503791152,0.25003845495490845,0
-0.276,-0.0020000000000000018,0.5015885253747561,0.005621201873683398,0.2825953257777707,0
-0.276,0.0,0.5016733323798002,0.005648319165577457,0.29625315615980913,0
-0.276,0.0020000000000000018,0.5015453830181257,0.005578471144320982,0.2770262636742077,0
-0.276,0.0040000000000000036,0.5012391307458935,0.005420157957394471,0.2286152462038742,0
-0.276,0.006000000000000005,0.5004913001051425,0.005276298807496375,0.0931145340829548,0
-0.276,0.008000000000000007,0.49981793576625705,0.005002269409144593,-0.03639632711707243,0
-0.276,0.010000000000000009,0.49905066719267227,0.004611881871146406,-0.2058449964356489,0
-0.276,0.01200000000000001,0.4976209841140573,0.004574789177110886,-0.5200274359845105,0
-0.276,0.014000000000000012,0.49654832515294095,0.004721210375008902,-0.7310995640715392,0
-0.276,0.016000000000000014,0.49553013515924804,0.004904738941971484,-0.9113359331934808,0
-0.276,0.018000000000000016,0.494754407128489,0.004996038504700924,-1.0499504490558378,0
-0.276,0.020000000000000018,0.4947091544525044,0.0049889090543767,-1.0605215468608473,0
-0.276,0.02200000000000002,0.49493021804942466,0.004835955105242022,-1.048351740296298,0
-0.276,0.02400000000000002,0.49531079676143613,0.004721093701581621,-0.9932451111895717,0
-0.276,0.026000000000000023,0.4956976114612767,0.004476296382777301,-0.9611491668149879,0
-0.276,0.028000000000000025,0.49651017307561685,0.004197209351642671,-0.8314636302373956,0
-0.276,0.030000000000000027,0.49779641821695175,0.004130404116254259,-0.5335027084581493,0
-0.276,0.03200000000000003,0.49897396805626687,0.0043298289254801855,-0.23696824086861637,0
-0.276,0.03400000000000003,0.5000492210316668,0.004664336549743958,0.010552632971901418,0
-0.276,0.03600000000000003,0.5007678985273517,0.004839265884290218,0.15868078872138616,0
-0.276,0.038000000000000034,0.5015287830265573,0.004839563200374715,0.3158927703307833,0
-0.276,0.040000000000000036,0.5019901278489636,0.004579721710181077,0.4345521354582192,0
-0.276,0.04200000000000004,0.5022505828603686,0.004291098898973959,0.5244770426770516,0
-0.276,0.04400000000000004,0.5019207029255198,0.004254021635902918,0.4515028577451401,0
-0.276,0.04600000000000004,0.5011225099078548,0.0045635579978724255,0.24597253028847618,0
-0.276,0.04800000000000004,0.5003839385302598,0.005331184488626403,0.07201749087445372,0
-0.276,0.04999999999999999,0.49976561928641405,0.006348895665600368,-0.03691676882578938,0
-0.276,0.05199999999999999,0.4993843231791093,0.007249601082510814,-0.08492561368321819,0
-0.276,0.05399999999999999,0.4995968501687364,0.007675542693429645,-0.05252395138244193,0
-0.276,0.055999999999999994,0.5006781580661015,0.007665282557540352,0.08847137219154842,0
-0.276,0.057999999999999996,0.5022818859868449,0.007208961694249196,0.31653462504388913,0
-0.276,0.06,0.5041292561513647,0.006473128110052337,0.6379073735543989,0
-0.276,0.062,0.5057129257715873,0.005939605332081193,0.9618359221159681,0
-0.276,0.064,0.5065861849791466,0.005813219967556959,1.1329667578215692,0
-0.276,0.066,0.5071810578024736,0.006000482800007899,1.196746668862054,0
-0.276,0.068,0.5067585210684742,0.006515523709481922,1.0372951384765408,0
-0.276,0.07,0.5052102926772462,0.007126613199017049,0.7311036156648203,0
-0.276,0.07200000000000001,0.5034213170010157,0.007815431914197578,0.437764289750948,0
-0.276,0.07400000000000001,0.501667729199324,0.008212188930333259,0.20307974079407987,0
-0.276,0.07600000000000001,0.4998058071002357,0.008409849718825075,-0.02309112603159964,0
-0.276,0.07800000000000001,0.4983708292788686,0.008573964503209136,-0.1900137002575295,0
-0.276,0.08000000000000002,0.49642123124693804,0.008755299959050285,-0.4087545566457366,0
-0.276,0.08200000000000002,0.4946118005632794,0.008820269799340471,-0.6108882788509953,0
-0.276,0.08400000000000002,0.4933705942091783,0.009018595579050017,-0.7350818353826196,0
-0.276,0.08600000000000002,0.49214940133637874,0.009120231110088776,-0.8607894436947984,0
-0.276,0.08800000000000002,0.491904078263615,0.009116919481969219,-0.8880106654881057,0
-0.276,0.09000000000000002,0.49228048996124585,0.009163030749960154,-0.842462526799636,0
-0.276,0.09200000000000003,0.49274403544885137,0.009043712287397048,-0.8023214715996912,0
